Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Dammit,blink-182,Dude Ranch, 1997,165373,4,0.429,0.972,0,-5.122,1,0.0953,0.0017,0,0.171,0.34,111.282,68
Feeling This,blink-182,blink-182, 2003,172645,4,0.411,0.962,4,-5.952,1,0.0917,0.103,0,0.529,0.622,173.143,70
First Date,blink-182,Take Off Your Pants And Jacket, 2001,171533,4,0.579,0.928,0,-4.344,1,0.0411,0.000715,0,0.18,0.882,95.594,74
I Miss You,blink-182,blink-182, 2004,227240,4,0.655,0.781,11,-6.547,1,0.034,0.00103,0.00000533,0.0867,0.584,110.024,76
Not Now,blink-182,Greatest Hits, 2004,263573,4,0.58,0.93,2,-5.17,1,0.0618,0.00236,0.000055,0.0768,0.285,106.022,56
Stay Together For The Kids,blink-182,Take Off Your Pants And Jacket, 2001,239333,4,0.52,0.78,2,-4.944,1,0.0356,0.00165,0.0000216,0.156,0.166,145.12,65
The Rock Show,blink-182,Take Off Your Pants And Jacket, 2001,171600,4,0.409,0.959,9,-4.563,1,0.0869,0.000324,0,0.0766,0.83,193.144,69
What's My Age Again?,blink-182,Enema Of The State, 1999,148360,4,0.391,0.951,6,-7.419,1,0.0688,0.012,0.000446,0.0878,0.468,157.663,80
Human Cannonball,Butthole Surfers,Locust Abortion Technician, 1986,231946,4,0.444,0.702,7,-8.473,1,0.0569,0.00315,0.00107,0.0291,0.473,93.197,36
Pepper,Butthole Surfers,Electriclarryland, 1996,297266,4,0.631,0.804,7,-5.492,1,0.166,0.00589,0.00116,0.16,0.671,79.898,62
The Hurdy Gurdy Man,Butthole Surfers,Pioughd + Widowermaker!, 1996,239026,4,0.378,0.746,0,-6.411,1,0.0457,0.0252,0,0.115,0.667,173.769,32
The Shame of Life,Butthole Surfers,Weird Revolution, 1986,234786,4,0.605,0.864,7,-6.636,1,0.0428,0.00112,0.106,0.326,0.617,91.988,42
Who Was In My Room Last Night?,Butthole Surfers,Independent Worm Saloon, 1993,249000,4,0.306,0.889,6,-8.691,0,0.117,0.000824,0.0121,0.271,0.255,182.054,51
Ever Fallen in Love (With Someone You Shouldn't've?) - 1996 Remastered Version,Buzzcocks,Love Bites, 1996,163693,4,0.266,0.831,4,-9.07,1,0.0453,0.000862,0,0.0555,0.778,175.514,62
Everybody's Happy Nowadays - 2001 Remastered Version,Buzzcocks,Singles Going Steady, 2001,191066,4,0.535,0.802,7,-7.472,0,0.137,0.00347,0.0000062,0.18,0.598,110.591,42
Fast Cars - 1996 Remastered Version,Buzzcocks,Another Music In A Different Kitchen, 1996,146893,4,0.265,0.82,10,-7.067,0,0.053,0.00191,0.0265,0.157,0.479,93.229,31
Harmony In My Head - 2001 Remastered Version,Buzzcocks,Singles Going Steady, 2001,187840,4,0.327,0.886,9,-7.31,0,0.117,0.000149,0.00701,0.263,0.667,169.755,35
I Don't Mind,Buzzcocks,Another Music In A Different Kitchen (2018 Remastered Version), 1978,139800,4,0.266,0.884,8,-7.113,1,0.0693,0.0534,0.0000373,0.106,0.857,166.761,32
Love You More - 1996 Remastered Version,Buzzcocks,Love Bites, 1996,110000,4,0.33,0.793,4,-6.3,1,0.0937,0.00139,0,0.406,0.754,87.459,28
Noise Annoys - 2001 Remastered Version,Buzzcocks,Singles Going Steady, 2001,173066,4,0.293,0.825,6,-7.432,0,0.169,0.00471,0.0845,0.172,0.575,157.569,18
Orgasm Addict - 2001 Remastered Version,Buzzcocks,Singles Going Steady, 2001,122960,4,0.353,0.883,4,-6.577,1,0.15,0.000782,0,0.248,0.65,92.634,38
Promises - 2001 Remastered Version,Buzzcocks,Singles Going Steady, 2001,157066,4,0.289,0.767,0,-7.521,1,0.0519,0.00125,0,0.102,0.847,168.79,27
What Do I Get?,Buzzcocks,What Do I Get?, 1978,163360,4,0.193,0.945,7,-3.348,1,0.0511,0.000193,0.00000153,0.616,0.364,94.89,27
Beverly Hills,Circle Jerks,Group Sex, 1980,64865,4,0.572,0.797,1,-5.242,1,0.036,0.262,0.000564,0.14,0.935,148.789,33
Deny Everything,Circle Jerks,Group Sex, 1983,31003,4,0.26,0.999,5,-2.479,1,0.208,0.22,0,0.11,0.071,189.464,30
I Just Want Some Skank,Circle Jerks,Group Sex, 1980,69533,4,0.457,0.944,4,-3.555,0,0.181,0.0772,0.00122,0.258,0.512,98.373,33
Live Fast Die Young,Circle Jerks,Group Sex, 1980,93666,4,0.482,0.952,4,-4.759,0,0.0584,0.134,0.000018,0.0836,0.79,108.254,44
Question Authority,Circle Jerks,Wild in the Streets, 1980,117693,4,0.311,0.916,11,-4.1,1,0.0741,0.000851,0.000053,0.262,0.464,97.128,32
Red Tape,Circle Jerks,Group Sex, 1980,58128,4,0.467,0.906,7,-3.306,1,0.0889,0.116,0.0675,0.38,0.587,99.502,25
When the Shit Hits the Fan,Circle Jerks,Golden Shower of Hits, 1980,154360,4,0.401,0.938,11,-8.417,0,0.0524,0.0407,0,0.143,0.296,154.511,30
Wild in the Streets,Circle Jerks,Wild in the Streets, 1982,151853,4,0.454,0.994,4,-2.498,1,0.0368,0.00107,0,0.3,0.383,103.681,48
World up My Ass,Circle Jerks,Group Sex, 1980,77266,4,0.439,0.903,0,-3.461,1,0.0411,0.126,0,0.335,0.722,106.363,38
Because You're Young,Cock Sparrer,Guilty As Charged (Deluxe Edition), 1983,225893,4,0.269,0.88,0,-4.181,1,0.0366,0.00138,0.0000199,0.157,0.569,185.545,38
England Belongs to Me,Cock Sparrer,Shock Troops, 1978,183613,4,0.414,0.915,9,-4.891,1,0.0805,0.0201,0,0.0752,0.735,180.838,43
I Got Your Number,Cock Sparrer,Shock Troops, 1982,168600,4,0.345,0.934,2,-4.582,1,0.0539,0.0149,0,0.101,0.628,167.965,46
Riot Squad,Cock Sparrer,Shock Troops, 1978,164946,4,0.318,0.958,7,-4.245,1,0.11,0.00571,0.000632,0.26,0.489,172.901,39
Runnin' Riot,Cock Sparrer,40 Years, 1980,192426,4,0.171,0.897,4,-4.268,1,0.0814,0.000393,0,0.845,0.601,166.111,27
Suicide Girls,Cock Sparrer,Here We Stand, 1983,182853,4,0.429,0.789,4,-4.349,1,0.0625,0.00202,0.000871,0.205,0.433,162.166,36
Take 'Em All,Cock Sparrer,Shock Troops, 1978,153493,4,0.591,0.844,2,-5.554,1,0.04,0.0124,0,0.159,0.76,85.135,43
Where Are They Now,Cock Sparrer,Shock Troops, 1982,177893,4,0.307,0.895,9,-4.746,1,0.0582,0.00771,0,0.0317,0.583,167.568,31
Working,Cock Sparrer,Shock Troops, 1982,166240,4,0.345,0.937,7,-4.309,1,0.0548,0.0103,0,0.215,0.833,177.733,37
