Title,Average Rating,Director,Metascore
The Last Onehorn,7.3,"Jules Bass, Arthur Rankin Jr.",70.0
Seven Brides for Seven Brothers,7.3,Stanley Donen,75.0
Spoiler Alert,7.3,Michael Showalter,61.0
Rescue Dawn,7.3,Werner Herzog,77.0
Jason and the Argonauts,7.3,Don Chaffey,69.0
Star Trek IV: The Voyage Home,7.3,Leonard Nimoy,71.0
Murder by Death,7.3,Robert Moore,59.0
Invictus,7.3,Clint Eastwood,74.0
House,7.3,Nobuhiko Ôbayashi,75.0
Thirteen Days,7.3,Roger Donaldson,67.0
Cha Cha Real Smooth,7.3,Cooper Raiff,69.0
Clerks II,7.3,Kevin Smith,65.0
Siu Lam Juk Kau,7.3,Stephen Chow,68.0
What's Love Got to Do with It,7.3,Brian Gibson,76.0
Eight Below,7.3,Frank Marshall,64.0
The 12th Man,7.3,Harald Zwart,70.0
Alice Doesn't Live Here Anymore,7.3,Martin Scorsese,78.0
Antwone Fisher,7.3,Denzel Washington,62.0
Seabiscuit,7.3,Gary Ross,72.0
20th Century Women,7.3,Mike Mills,83.0
The Negotiator,7.3,F. Gary Gray,62.0
Belle,7.3,Amma Asante,64.0
Eddie the Eagle,7.3,Dexter Fletcher,54.0
Local Hero,7.3,Bill Forsyth,84.0
A Million Miles Away,7.3,Alejandra Márquez Abella,62.0
Nosotros los Nobles,7.3,Gary Alazraki,
Entergalactic,7.3,Fletcher Moules,
The Gods Must Be Crazy,7.3,Jamie Uys,73.0
Bambi,7.3,"James Algar, Samuel Armstrong, David Hand",91.0
Belladonna of Sadness,7.3,Eiichi Yamamoto,70.0
This Boy's Life,7.3,Michael Caton-Jones,60.0
My Favorite Wife,7.3,Garson Kanin,
Caché,7.3,Michael Haneke,87.0
The Squid and the Whale,7.3,Noah Baumbach,82.0
Seul Contre Tous,7.3,Gaspar Noé,77.0
The Bad News Bears,7.3,Michael Ritchie,84.0
Village of the Damned,7.3,Wolf Rilla,77.0
A Shot in the Dark,7.3,Blake Edwards,70.0
Driving Miss Daisy,7.3,Bruce Beresford,81.0
A Canterbury Tale,7.3,"Michael Powell, Emeric Pressburger",85.0
Angela's Ashes,7.3,Alan Parker,54.0
Moby Dick,7.3,John Huston,78.0
En kärlekshistoria,7.3,Roy Andersson,
Get Carter,7.3,Mike Hodges,80.0
The Ultimate Gift,7.3,Michael O. Sajbel,49.0
Woman in Gold,7.3,Simon Curtis,51.0
L'appartement,7.3,Gilles Mimouni,
Der Hauptmann,7.3,Robert Schwentke,67.0
Assault on Precinct 13,7.3,John Carpenter,89.0
Little Boy,7.3,Alejandro Monteverde,30.0
Beau travail,7.3,Claire Denis,91.0
Finding Forrester,7.3,Gus Van Sant,62.0
Lucky,7.3,John Carroll Lynch,80.0
Mr. Holland's Opus,7.3,Stephen Herek,59.0
Stand and Deliver,7.3,Ramón Menéndez,77.0
In Harm's Way,7.3,Otto Preminger,
Christmas in Connecticut,7.3,Peter Godfrey,64.0
Broadcast News,7.3,James L. Brooks,84.0
The Proposition,7.3,John Hillcoat,73.0
24 Hour Party People,7.3,Michael Winterbottom,85.0
Il mio nome è Nessuno,7.3,Tonino Valerii,68.0
nobody's Fool,7.3,Robert Benton,86.0
Hope and Glory,7.3,John Boorman,86.0
Carne Trémula,7.3,Pedro Almodóvar,69.0
Bud Abbott and Lou Costello Meet Frankenstein,7.3,"Charles Barton, Walter Lantz",69.0
Detroit,7.3,Kathryn Bigelow,77.0
Bad Boy Bubby,7.3,Rolf de Heer,
The Queen,7.3,Stephen Frears,90.0
Waterloo,7.3,Sergey Bondarchuk,
Ragtime,7.3,Milos Forman,57.0
Deconstructing Harry,7.3,Woody Allen,62.0
The Walk,7.3,Robert Zemeckis,70.0
Our Friend,7.3,Gabriela Cowperthwaite,57.0
Ronia: The Robber's Daughter,7.3,Tage Danielsson,
Tess,7.3,Roman Polanski,82.0
The Wanderers,7.3,Philip Kaufman,64.0
Point Blank,7.3,John Boorman,86.0
Ghajini,7.3,A.R. Murugadoss,
Far from Heaven,7.3,Todd Haynes,84.0
Jin-Roh: The Wolf Brigade,7.3,"Kenji Kamiyama, Hiroyuki Okiura",59.0
Hustle & Flow,7.3,Craig Brewer,68.0
Irma La Douce,7.3,Billy Wilder,63.0
Reds,7.3,Warren Beatty,76.0
Over the Edge,7.3,Jonathan Kaplan,67.0
Pom Poko,7.3,Isao Takahata,77.0
Shadowlands,7.3,Richard Attenborough,
49th Parallel,7.3,Michael Powell,
Rosencrantz & Guildenstern Are Dead,7.3,Tom Stoppard,
A Star Is Born,7.3,"William A. Wellman, Jack Conway, Victor Fleming",77.0
Toni Erdmann,7.3,Maren Ade,93.0
Pusher II,7.3,Nicolas Winding Refn,78.0
A Passage to India,7.3,David Lean,78.0
Suspicion,7.3,Alfred Hitchcock,83.0
Starred Up,7.3,David Mackenzie,81.0
Brigsby Bear,7.3,Dave McCary,67.0
Pauline à la plage,7.3,Éric Rohmer,
Shanghai Express,7.3,Josef von Sternberg,83.0
A Street Cat Named Bob,7.3,Roger Spottiswoode,54.0
The Best of Enemies,7.3,Robin Bissell,49.0
Phoenix,7.3,Christian Petzold,89.0
Morte a Venezia,7.3,Luchino Visconti,
Coming Home,7.3,Hal Ashby,61.0
Tender Mercies,7.3,Bruce Beresford,76.0
Kiss of the Spider Woman,7.3,Hector Babenco,80.0
Gods and Monsters,7.3,Bill Condon,74.0
Girl in the Picture,7.3,Skye Borgman,
Camilla,7.3,George Cukor,
Father Goose,7.3,Ralph Nelson,
Heaven Can Wait,7.3,Ernst Lubitsch,
Lorenzo's Oil,7.3,George Miller,80.0
Detour,7.3,Edgar G. Ulmer,
Hilary and Jackie,7.3,Anand Tucker,78.0
Chi Bi,7.3,John Woo,73.0
The Baader Meinhof Complex,7.3,Uli Edel,76.0
On the Town,7.3,"Stanley Donen, Gene Kelly",71.0
Max Manus,7.3,"Joachim Rønning, Espen Sandberg",60.0
The Trouble with Angels,7.3,Ida Lupino,
Desert Flower,7.3,Sherry Hormann,54.0
Hwanghae,7.3,Na Hong-jin,70.0
Murder in the First,7.3,Marc Rocco,
The Painted Bird,7.3,Václav Marhoul,72.0
Luftslottet som sprängdes,7.3,Daniel Alfredson,60.0
Bacurau,7.3,"Juliano Dornelles, Kleber Mendonça Filho",82.0
Experiment in Terror,7.3,Blake Edwards,69.0
My Favorite Year,7.3,Richard Benjamin,62.0
Shaun the Sheep Movie,7.3,"Mark Burton, Richard Starzak",81.0
Mona Lisa,7.3,Neil Jordan,85.0
Sur Mes Lèvres,7.3,Jacques Audiard,82.0
Shenandoah,7.3,Andrew V. McLaglen,
"The Pig, the Snake and the Pigeon",7.3,Ching-Po Wong,
Marshall,7.3,Reginald Hudlin,66.0
Pusher III,7.3,Nicolas Winding Refn,72.0
Ala Vaikunthapurramuloo,7.3,Trivikram Srinivas,
Atlantic City,7.3,Louis Malle,85.0
The Razor's Edge,7.3,Edmund Goulding,
The Field,7.3,Jim Sheridan,
Hell's Angels,7.3,"Howard Hughes, Edmund Goulding, James Whale",
The Killing of a Chinese Bookie,7.3,John Cassavetes,65.0
Bajirao Mastani,7.3,Sanjay Leela Bhansali,
El día de la bestia,7.3,Álex de la Iglesia,
Spy X Family Code White,7.3,"Kazuhiro Furuhashi, Takashi Katagiri",68.0
The Last Black Man in San Francisco,7.3,Joe Talbot,82.0
42nd Street,7.3,Lloyd Bacon,83.0
Pot Luck,7.3,Cédric Klapisch,65.0
Byuti Insaideu,7.3,Jong-Yeol Baek,48.0
Topsy-Turvy,7.3,Mike Leigh,90.0
Theri,7.3,Atlee,
The Long Hot Summer,7.3,Martin Ritt,
You're Not You,7.3,George C. Wolfe,56.0
Reprise,7.3,Joachim Trier,79.0
Uncle Frank,7.3,Alan Ball,58.0
Phir Hera Pheri,7.3,Neeraj Vora,
Too Late for Tears,7.3,Byron Haskin,
Barney's Version,7.3,Richard J. Lewis,67.0
The Bombardment,7.3,Ole Bornedal,
Keith,7.3,Todd Kessler,
The Front Page,7.3,Billy Wilder,62.0
Baby Doll,7.3,Elia Kazan,83.0
The Stranger,7.3,Orson Welles,76.0
Trade,7.3,Marco Kreuzpaintner,42.0
The Man with the Golden Arm,7.3,Otto Preminger,63.0
Nil by Mouth,7.3,Gary Oldman,76.0
Monsoon Wedding,7.3,Mira Nair,77.0
Dead Ringer,7.3,Paul Henreid,66.0
Weaving Room,7.3,Martin Ritt,61.0
Metropolitan,7.3,Whit Stillman,77.0
Constantine: City of Demons,7.3,Doug Murphy,
In the House,7.3,François Ozon,72.0
The Lodger: A Story of the London Fog,7.3,Alfred Hitchcock,
Gaslight,7.3,Thorold Dickinson,
Under the Same Moon,7.3,Patricia Riggen,59.0
Dogfight,7.3,Nancy Savoca,56.0
Manhattan Murder Mystery,7.3,Woody Allen,71.0
The Railway Children,7.3,Lionel Jeffries,
Richard III,7.3,Richard Loncraine,86.0
"Deux jours, une nuit",7.3,"Jean-Pierre Dardenne, Luc Dardenne",89.0
The In-Laws,7.3,Arthur Hiller,69.0
A New Leaf,7.3,Elaine May,
The Beast of War,7.3,Kevin Reynolds,
Rundskop,7.3,Michaël R. Roskam,68.0
The Keeper,7.3,Marcus H. Rosenmüller,52.0
Palm Trees in the Snow,7.3,Fernando González Molina,
Written on the Wind,7.3,Douglas Sirk,86.0
This Youth Is Crazy,7.3,Ayan Mukerji,
Camille Claudel,7.3,Bruno Nuytten,
Kansas City Confidential,7.3,Phil Karlson,
Roma,7.3,Federico Fellini,
Run Silent Run Deep,7.3,Robert Wise,62.0
National Velvet,7.3,Clarence Brown,83.0
Loft,7.3,Erik Van Looy,
"Sorry, Wrong Number",7.3,Anatole Litvak,
The Spiral Staircase,7.3,Robert Siodmak,
Love Jones,7.3,Theodore Witcher,65.0
Der Fall Collini,7.3,Marco Kreuzpaintner,
The Sum of Us,7.3,"Geoff Burton, Kevin Dowling",
Oh Boy,7.3,Jan-Ole Gerster,63.0
I.D.,7.3,Phil Davis,
The Three Burials of Melquiades Estrada,7.3,Tommy Lee Jones,77.0
The Americanization of Emily,7.3,Arthur Hiller,68.0
Le dernier métro,7.3,François Truffaut,
Time Masters,7.3,René Laloux,
Last Train from Gun Hill,7.3,John Sturges,
The Snow Walker,7.3,Charles Martin Smith,
Cheong-nyeon-gyeong-chal,7.3,Joo-hwan Kim,
So Weit Die Füße Tragen,7.3,Hardy Martins,
Une femme est une femme,7.3,Jean-Luc Godard,71.0
Lust for Life,7.3,"Vincente Minnelli, George Cukor",68.0
Enchanted April,7.3,Mike Newell,78.0
Richard III,7.3,Laurence Olivier,88.0
Pumping Iron,7.3,"George Butler, Robert Fiore",72.0
Interiors,7.3,Woody Allen,67.0
Gongjak,7.3,Yoon Jong-bin,69.0
Shogun Assassin,7.3,"Robert Houston, Kenji Misumi",
I Kina spiser de hunde,7.3,Lasse Spang Olsen,
The Roast of Tom Brady,7.3,Beth McCarthy-Miller,
Blue Jay,7.3,Alex Lehmann,69.0
Tabu,7.3,Miguel Gomes,79.0
Sommersturm,7.3,Marco Kreuzpaintner,51.0
Murder She Said,7.3,George Pollock,
"Watch Out, We're Mad",7.3,Marcello Fondato,
Venuto al mondo,7.3,Sergio Castellitto,34.0
Viaggio in Italia,7.3,Roberto Rossellini,100.0
The Long Walk Home,7.3,Richard Pearce,73.0
La famille Bélier,7.3,Éric Lartigau,
Young Scarface,7.3,John Boulting,
Un Sac De Billes,7.3,Christian Duguay,55.0
The Scent of Green Papaya,7.3,Anh Hung Tran,81.0
I'm No Longer Here,7.3,Fernando Frias,72.0
Les innocentes,7.3,Anne Fontaine,78.0
Mrs. Chatterjee vs. Norway,7.3,Ashima Chibber,
Hit the Road,7.3,Panah Panahi,91.0
Gekijô-ban Sôdo Âto Onrain: Sword Art Online - Ôdinaru sukêru -,7.3,Tomohiko Itô,
Le prénom,7.3,"Alexandre de La Patellière, Matthieu Delaporte",66.0
The Tall T,7.3,Budd Boetticher,
King of the Hill,7.3,Steven Soderbergh,86.0
City Island,7.3,Raymond De Felitta,66.0
Café de Flore,7.3,Jean-Marc Vallée,53.0
Mommy Dead and Dearest,7.3,Erin Lee Carr,
United,7.3,James Strong,
Looking for Richard,7.3,Al Pacino,
Les vacances de Monsieur Hulot,7.3,Jacques Tati,90.0
A Boy Named Charlie Brown,7.3,Bill Melendez,
The Man from Laramie,7.3,Anthony Mann,
Beyond the Infinite Two Minutes,7.3,Junta Yamaguchi,
The Name Engraved in Your Heart,7.3,Kuang-Hui Liu,
The Collector,7.3,Éric Rohmer,
Still Life,7.3,Jia Zhang-ke,81.0
Whitney,7.3,Kevin Macdonald,75.0
The Naked Prey,7.3,Cornel Wilde,64.0
The Glenn Miller Story,7.3,Anthony Mann,
Harry and Tonto,7.3,Paul Mazursky,72.0
Rang zi dan fei,7.3,Wen Jiang,66.0
Polisse,7.3,Maïwenn,74.0
The Westerner,7.3,William Wyler,78.0
Crossfire,7.3,Edward Dmytryk,
Friendly Persuasion,7.3,William Wyler,
The Naked Spur,7.3,Anthony Mann,
Les vampires,7.3,Louis Feuillade,
Üç Maymun,7.3,Nuri Bilge Ceylan,73.0
"Heaven Knows, Mr. Allison",7.3,John Huston,
Demain tout commence,7.3,Hugo Gélin,
No Smoking,7.3,Anurag Kashyap,
The Body Snatcher,7.3,Robert Wise,74.0
Adolf Hitler: The Greatest Story Never Told,7.3,Dennis Wise,
Otesánek,7.3,Jan Svankmajer,74.0
Love Affair,7.3,Leo McCarey,91.0
Ai qing wan sui,7.3,Tsai Ming-liang,
People Will Talk,7.3,Joseph L. Mankiewicz,
L'uomo delle stelle,7.3,Giuseppe Tornatore,
Coup de torchon,7.3,Bertrand Tavernier,
Music Box,7.3,Costa-Gavras,
Hara-Kiri: Death of a Samurai,7.3,Takashi Miike,76.0
Freddy,7.3,Shashanka Ghosh,
Big Eden,7.3,Thomas Bezucha,59.0
Boku no hîrô akademia THE MOVIE ~ 2-ri no eiyû ~,7.3,Kenji Nagasaki,
The Velvet Underground,7.3,Todd Haynes,87.0
Elena,7.3,Andrey Zvyagintsev,87.0
Captain Horatio Hornblower R.N.,7.3,Raoul Walsh,
How to Get the Man's Foot Outta Your Ass,7.3,Mario Van Peebles,75.0
Snake in the Eagle's Shadow,7.3,Woo-Ping Yuen,
Monsieur Ibrahim,7.3,François Dupeyron,69.0
Bully,7.3,Lee Hirsch,74.0
La stanza del figlio,7.3,Nanni Moretti,73.0
Shock Corridor,7.3,Samuel Fuller,
Cartel Land,7.3,Matthew Heineman,76.0
The Front,7.3,Martin Ritt,
Trance,7.3,Anwar Rasheed,
Passion Fish,7.3,John Sayles,
Vanya on 42nd Street,7.3,Louis Malle,
Sadece Sen,7.3,Hakan Yonat,
Into the Abyss,7.3,Werner Herzog,74.0
A Foreign Affair,7.3,Billy Wilder,75.0
Le boucher,7.3,Claude Chabrol,
Never on Sunday,7.3,Jules Dassin,
Saint Ralph,7.3,Michael McGowan,51.0
Le fate ignoranti,7.3,Ferzan Özpetek,69.0
Vaathi,7.3,Venky Atluri,
Dodesukaden,7.3,Akira Kurosawa,
Another Thin Man,7.3,W.S. Van Dyke,63.0
Kaagaz,7.3,Satish Kaushik,
Truman,7.3,Cesc Gay,81.0
Madadayo,7.3,"Akira Kurosawa, Ishirô Honda",79.0
Hail Satan?,7.3,Penny Lane,76.0
The Selfish Giant,7.3,Clio Barnard,83.0
Deux hommes dans la ville,7.3,José Giovanni,
Mard Ko Dard Nahin Hota,7.3,Vasan Bala,
Sakasama no Patema,7.3,Yasuhiro Yoshiura,66.0
Im Labyrinth des Schweigens,7.3,Giulio Ricciarelli,62.0
Unagi,7.3,Shôhei Imamura,81.0
The Winslow Boy,7.3,David Mamet,79.0
Taxi No. 9 2 11: Nau Do Gyarah,7.3,Milan Luthria,
The Enforcer,7.3,"Bretaigne Windust, Raoul Walsh",
Humoresque,7.3,Jean Negulesco,
Ridicule,7.3,Patrice Leconte,80.0
The Bedford Incident,7.3,James B. Harris,
Parada,7.3,Srdjan Dragojevic,
La nana,7.3,Sebastián Silva,82.0
The Front Line,7.3,Hun Jang,59.0
Enas allos kosmos,7.3,Christopher Papakaliatis,61.0
Jathi Ratnalu,7.3,Anudeep K.V.,
Mr & Mme Adelman,7.3,Nicolas Bedos,
De helaasheid der dingen,7.3,Felix van Groeningen,54.0
Sarbjit,7.3,Omung Kumar,
Sorkhpoost,7.3,Nima Javidi,
Taxi,7.3,Jafar Panahi,91.0
Gekijô-ban hagane no renkinjutsushi: Shanbara wo yuku mono,7.3,Seiji Mizushima,
Die verlorene Ehre der Katharina Blum,7.3,"Volker Schlöndorff, Margarethe von Trotta",
W ciemnosci,7.3,Agnieszka Holland,74.0
La chèvre,7.3,Francis Veber,
Leto,7.3,Kirill Serebrennikov,69.0
The Cakemaker,7.3,Ofir Raul Graizer,74.0
Maine Pyar Kiya,7.3,Sooraj R. Barjatya,
The Monster,7.3,Roberto Benigni,
The Thin Man Goes Home,7.3,Richard Thorpe,64.0
"Je vais bien, ne t'en fais pas",7.3,Philippe Lioret,
In This Our Life,7.3,"John Huston, Raoul Walsh",
Five Graves to Cairo,7.3,Billy Wilder,
Happy Easter,7.3,Charles Walters,
The Kid Stays in the Picture,7.3,"Nanette Burstein, Brett Morgen",75.0
13 Tzameti,7.3,Géla Babluani,61.0
Wild Reeds,7.3,André Téchiné,83.0
Twentieth Century,7.3,Howard Hawks,
Mao's Last Dancer,7.3,Bruce Beresford,55.0
The Tin Star,7.3,Anthony Mann,
Raman Raghav 2.0,7.3,Anurag Kashyap,
Un cuento chino,7.3,Sebastián Borensztein,
Taish,7.3,Bejoy Nambiar,
Mardaani 2,7.3,Gopi Puthran,
Full Moon in Paris,7.3,Éric Rohmer,
A Viszkis,7.3,Nimród Antal,
Get Me Roger Stone,7.3,"Dylan Bank, Daniel DiMauro, Morgan Pehme",75.0
Osama,7.3,Siddiq Barmak,83.0
The Edge of Democracy,7.3,Petra Costa,81.0
Bacalaureat,7.3,Cristian Mungiu,84.0
Stand by Me Doraemon,7.3,"Tony Oliver, Ryuichi Yagi, Takashi Yamazaki",
Bez konca,7.3,Krzysztof Kieslowski,
Wong Fei Hung II: Nam yee tung chi keung,7.3,Hark Tsui,
Reconstruction,7.3,Christoffer Boe,60.0
Yuva,7.3,Mani Ratnam,63.0
Ben X,7.3,Nic Balthazar,
Bread and Tulips,7.3,Silvio Soldini,68.0
Vier Minuten,7.3,Chris Kraus,
Gold,7.3,Reema Kagti,
Soaked in Bleach,7.3,Benjamin Statler,50.0
Grzeli nateli dgeebi,7.3,"Nana Ekvtimishvili, Simon Groß",72.0
Jallikattu,7.3,Lijo Jose Pellissery,
Dear Comrade,7.3,Bharat Kamma,
The Sucker,7.3,Gérard Oury,
Sulla mia pelle,7.3,Alessio Cremonini,
Bala,7.3,Amar Kaushik,
Talk to Me,7.3,Kasi Lemmons,69.0
El Bola,7.3,Achero Mañas,70.0
Gates of Heaven,7.3,Errol Morris,
Kevin Hart: Laugh at My Pain,7.3,"Leslie Small, Tim Story",
Ajami,7.3,"Scandar Copti, Yaron Shani",82.0
Ni na bian ji dian,7.3,Tsai Ming-liang,79.0
Pohwasogeuro,7.2,John H. Lee,
Return to Space,7.3,"Jimmy Chin, Elizabeth Chai Vasarhelyi",56.0
Le couperet,7.3,Costa-Gavras,
Way Down East,7.3,D.W. Griffith,
Milky Way,7.3,Luis Buñuel,
Pek Yakinda,7.3,Cem Yilmaz,
Jersey,7.3,Gowtam Tinnanuri,
Gadar: Ek Prem Katha,7.3,Anil Sharma,
Lost in La Mancha,7.3,"Keith Fulton, Louis Pepe",75.0
Mardaani,7.3,Pradeep Sarkar,
Majili,7.3,Shiva Nirvana,
Shei xian ai shang ta de,7.3,"Chih-Yen Hsu, Mag Hsu",
A Brief History of Time,7.3,Errol Morris,78.0
Karafuru,7.3,Keiichi Hara,
Trailer Park Boys: Countdown to Liquor Day,7.3,Mike Clattenburg,
Afsaid,7.3,Jafar Panahi,85.0
Raining Stones,7.3,Ken Loach,
Bad Seeds,7.3,Kheiron,
Kelebekler,7.3,Tolga Karaçelik,
Bears,7.3,"Alastair Fothergill, Keith Scholey, Adam Chapman",68.0
Ek Chalis Ki Last Local,7.3,Sanjay M. Khanduri,
Billa,7.3,Vishnuvardhan,
Hong gao liang,7.3,Yimou Zhang,
Le Hérisson,7.3,Mona Achache,64.0
Mayis Sikintisi,7.3,Nuri Bilge Ceylan,75.0
L'emploi du temps,7.3,Laurent Cantet,88.0
Aravindha Sametha Veera Raghava,7.3,Trivikram Srinivas,
Ishqiya,7.3,Abhishek Chaubey,
Eyes Wide Open,7.3,Haim Tabakman,70.0
City Lights,7.3,Hansal Mehta,
Obsluhoval jsem anglického krále,7.3,Jirí Menzel,72.0
Geograf globus propil,7.3,Aleksandr Veledinskiy,
Ikimono no kiroku,7.3,Akira Kurosawa,
Gertrud,7.3,Carl Theodor Dreyer,
I Am Heath Ledger,7.3,"Adrian Buitenhuis, Derik Murray",68.0
Running Out of Time,7.3,Johnnie To,
21 Years: Quentin Tarantino,7.3,Tara Wood,
Etz Limon,7.3,Eran Riklis,74.0
Shirkers,7.3,Sandi Tan,88.0
Neadekvatnye lyudi,7.3,Roman Karimov,
Sieranevada,7.3,Cristi Puiu,82.0
O Cheiro do Ralo,7.3,Heitor Dhalia,
The Anthem of the Heart,7.3,Tatsuyuki Nagai,
Salmer fra kjøkkenet,7.3,Bent Hamer,75.0
Riding Alone for Thousands of Miles,7.3,Yimou Zhang,73.0
Anjali CBI,7.3,R. Ajay Gnanamuthu,
Nói albinói,7.3,Dagur Kári,68.0
Trailer Park Boys: Don't Legalize It,7.3,Mike Clattenburg,
A Dirty Carnival,7.3,Ha Yoo,
"Objective, Burma!",7.3,Raoul Walsh,79.0
A fost sau n-a fost?,7.3,Corneliu Porumboiu,77.0
Walk on Water,7.3,Eytan Fox,65.0
Seducing Doctor Lewis,7.3,Jean-François Pouliot,59.0
Händler der vier Jahreszeiten,7.3,Rainer Werner Fassbinder,
Hitchcock/Truffaut,7.3,Kent Jones,79.0
Gupt: The Hidden Truth,7.3,Rajiv Rai,
Sivi kamion crvene boje,7.3,Srdjan Koljevic,
Shiny_Flakes: The Teenage Drug Lord,7.3,"Eva Müller, Michael Schmitt",
Race Gurram,7.3,Surender Reddy,
Ji Jie Hao,7.3,Xiaogang Feng,
O Ano em Que Meus Pais Saíram de Férias,7.3,Cao Hamburger,67.0
Wang-ui namja,7.3,Lee Joon-ik,
Bana Masal Anlatma,7.3,Burak Aksak,
Hasta la vista,7.3,Geoffrey Enthoven,
Soorma,7.3,Shaad Ali,
Honsla Rakh,7.3,Amarjit Singh Saron,
Pozitia copilului,7.3,Cãlin Peter Netzer,77.0
Dasavatharam,7.3,K.S. Ravikumar,
Sameblod,7.3,Amanda Kernell,79.0
Cesare deve morire,7.3,"Paolo Taviani, Vittorio Taviani",77.0
Gunda,7.3,Kanti Shah,
The Dark House,7.3,Wojciech Smarzowski,
Vendhu Thanindhathu Kaadu,7.3,Gautham Vasudev Menon,
Iftarlik Gazoz,7.3,Yüksel Aksu,
Orphans of the Storm,7.3,D.W. Griffith,
Anlat Istanbul,7.3,"Ömür Atay, Selim Demirdelen, Kudret Sabanci",
Spark: L.I.F.E,7.3,Vikranth Reddy,
2 Coelhos,7.3,Afonso Poyart,
Zoku Miyamoto Musashi: Ichijôji no kettô,7.3,Hiroshi Inagaki,
Hum Hain Rahi Pyar Ke,7.3,Mahesh Bhatt,
Jerusalema,7.3,Ralph Ziman,53.0
Der Junge muss an die frische Luft,7.3,Caroline Link,
Shaurya: It Takes Courage to Make Right... Right,7.3,Samar Khan,
Goodbye Solo,7.3,Ramin Bahrani,89.0
Mirchi,7.3,Koratala Siva,
Welad el-Amm,7.3,Sherif Arafa,
Yennai Arindhaal,7.3,Gautham Vasudev Menon,
Baska Dilde Ask,7.3,Ilksen Basarir,
Terms and Conditions May Apply,7.3,Cullen Hoback,68.0
Blackpink: Light Up the Sky,7.3,Caroline Suh,66.0
Page 3,7.3,"Madhur Bhandarkar, Jay Dev Banerjee",
Stromberg - Der Film,7.3,Arne Feldhusen,
Knock Down the House,7.3,Rachel Lears,80.0
Solino,7.3,Fatih Akin,
Julayi,7.3,Trivikram Srinivas,
Atharintiki Daaredi,7.3,Trivikram Srinivas,
Vali,7.3,Çagatay Tosun,
The U.S. vs. John Lennon,7.3,"David Leaf, John Scheinfeld",64.0
Drogówka,7.3,Wojciech Smarzowski,
Heretic,7.2,"Scott Beck, Bryan Woods",71.0
Alien: Romulus,7.2,Fede Alvarez,64.0
Dungeons & Dragons: Honor Among Thieves,7.2,"John Francis Daley, Jonathan Goldstein",72.0
The Hunger Games,7.2,Gary Ross,68.0
Mission: Impossible,7.2,Brian De Palma,59.0
Where the Crawdads Sing,7.2,Olivia Newman,43.0
The Descent,7.2,Neil Marshall,71.0
Don't Look Up,7.2,Adam McKay,49.0
The Menu,7.2,Mark Mylod,71.0
Grease,7.2,Randal Kleiser,70.0
The Equalizer,7.2,Antoine Fuqua,57.0
Gosford Park,7.2,Robert Altman,90.0
Notting Hill,7.2,Roger Michell,68.0
The Great Gatsby,7.2,Baz Luhrmann,55.0
The Patriot,7.2,Roland Emmerich,63.0
The Little Mermaid,7.2,Rob Marshall,59.0
The Suicide Squad,7.2,James Gunn,72.0
GoldenEye,7.2,Martin Campbell,65.0
Now You See Me,7.2,Louis Leterrier,50.0
Fantastic Beasts and Where to Find Them,7.2,David Yates,66.0
Shame,7.2,Steve McQueen,72.0
Encanto,7.2,"Jared Bush, Byron Howard, Charise Castro Smith",75.0
Meet Joe Black,7.2,Martin Brest,43.0
From Dusk Till Dawn,7.2,Robert Rodriguez,48.0
His Three Daughters,7.2,Azazel Jacobs,84.0
Closer,7.2,Mike Nichols,65.0
Mother and Child,7.2,Rodrigo García,64.0
The Ballad of Buster Scruggs,7.2,"Ethan Coen, Joel Coen",79.0
The Age of Adaline,7.2,Lee Toland Krieger,51.0
Red Dragon,7.2,Brett Ratner,60.0
Chicago,7.2,Rob Marshall,81.0
The Phantom of the Opera,7.2,Joel Schumacher,40.0
Dr. No,7.2,Terence Young,78.0
The Man from U.N.C.L.E.,7.2,Guy Ritchie,56.0
Mask,7.2,Peter Bogdanovich,73.0
The Passion of the Christ,7.2,Mel Gibson,47.0
21 Jump Street,7.2,"Phil Lord, Christopher Miller",69.0
Tremors,7.2,Ron Underwood,65.0
The Virgin Suicides,7.2,Sofia Coppola,77.0
The Lost Boys,7.2,Joel Schumacher,63.0
They Live,7.2,John Carpenter,55.0
I Am Legend,7.2,Francis Lawrence,65.0
8 Mile,7.2,Curtis Hanson,77.0
Magical City Terabithia,7.2,Gabor Csupo,74.0
The Matrix Reloaded,7.2,"Lana Wachowski, Lilly Wachowski",62.0
Willow,7.2,Ron Howard,47.0
The Prince of Egypt,7.2,"Brenda Chapman, Steve Hickner, Simon Wells",64.0
The School of Rock,7.2,Richard Linklater,82.0
Coherence,7.2,James Ward Byrkit,65.0
The Road,7.2,John Hillcoat,64.0
Natural Born Killers,7.2,Oliver Stone,74.0
Sunshine,7.2,Danny Boyle,64.0
A.I.,7.2,Steven Spielberg,65.0
Vice,7.2,Adam McKay,61.0
A Quiet Place Part II,7.2,John Krasinski,71.0
Dawn of the Dead,7.2,Zack Snyder,59.0
American Hustle,7.2,David O. Russell,90.0
Insomnia,7.2,Christopher Nolan,78.0
Friday Night Lights,7.2,Peter Berg,70.0
Manhunter,7.2,Michael Mann,75.0
10 Cloverfield Lane,7.2,Dan Trachtenberg,76.0
The Birdcage,7.2,Mike Nichols,71.0
Michael Clayton,7.2,Tony Gilroy,82.0
The Outfit,7.2,Graham Moore,69.0
King Kong,7.2,Peter Jackson,81.0
The Bank Job,7.2,Roger Donaldson,69.0
