Title,Average Rating,Director,Metascore
Paradise Lost: The Child Murders at Robin Hood Hills,8.2,"Joe Berlinger, Bruce Sinofsky",
Bãhubali 2: The Conclusion,8.2,S.S. Rajamouli,
Dersu Uzala,8.2,Akira Kurosawa,
Super Deluxe,8.2,Thiagarajan Kumararaja,
Sherlock Jr.,8.2,Buster Keaton,
Hope,8.2,Lee Joon-ik,
"Swades: We, the People",8.2,Ashutosh Gowariker,
13th,8.2,Ava DuVernay,81.0
Rangasthalam,8.2,Sukumar,
Umberto D.,8.2,Vittorio De Sica,92.0
The Ascent,8.2,Larisa Shepitko,
Life and a Day,8.2,Saeed Roustayi,
Dag II,8.2,Alper Caglar,
Ennio,8.2,Giuseppe Tornatore,75.0
Soy Cuba,8.2,Mikhail Kalatozov,91.0
Banshun,8.2,Yasujirô Ozu,93.0
The Easy Life,8.2,Dino Risi,
Vikram Vedha,8.2,"Gayatri, Pushkar, Gowtham Selvaraj",
Los olvidados,8.2,Luis Buñuel,
Maanaadu,8.2,Venkat Prabhu,
Rascal Does Not Dream of a Dreaming Girl,8.2,Sôichi Masui,
Ordet,8.2,Carl Theodor Dreyer,
Disclosure,8.2,Sam Feder,79.0
In & of Itself,8.2,Frank Oz,82.0
Aparajito,8.2,Satyajit Ray,
HyperNormalisation,8.2,Adam Curtis,
Make Way for Tomorrow,8.2,Leo McCarey,
I Am a Fugitive from a Chain Gang,8.2,Mervyn LeRoy,
Before the Flood,8.2,Fisher Stevens,63.0
Saptha Sagaradaache Ello - Side A,8.2,Hemanth M. Rao,
The Mole: Undercover in North Korea,8.2,Mads Brügger,
Racing Extinction,8.2,Louie Psihoyos,81.0
Harlan County U.S.A.,8.2,Barbara Kopple,80.0
American Utopia,8.2,Spike Lee,93.0
Theeran Adhigaaram Ondru,8.2,H. Vinoth,
Chithha,8.2,S.U. Arun Kumar,
Dhuruvangal Pathinaaru,8.2,Karthick Naren,
Ballada o soldate,8.2,Grigoriy Chukhray,
Shahid,8.2,Hansal Mehta,
Sluzhebnyy roman,8.2,Eldar Ryazanov,
Bizim Için Sampiyon,8.2,Ahmet Katiksiz,
Guizi lai le,8.2,Wen Jiang,70.0
Jung Kook: I Am Still,8.2,Park Jun-soo,
Obchod na korze,8.2,"Ján Kadár, Elmar Klos",
Paan Singh Tomar,8.2,Tigmanshu Dhulia,
Hearts and Minds,8.2,Peter Davis,68.0
Cep Herkülü: Naim Süleymanoglu,8.2,Özer Feyzioglu,
Uncle Tom,8.2,Justin Malone,
