DATAFLOW,LAST UPDATE,freq,s_adj,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,JP,2023-12,670,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,JP,2024-01,730,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,JP,2024-02,810,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,JP,2024-03,810,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,JP,2024-04,760,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,JP,2024-05,740,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,JP,2024-06,770,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,LT,2023-08,48,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,LT,2023-09,50,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,LT,2023-10,50,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,LT,2023-11,50,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,LT,2023-12,49,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,LT,2024-01,54,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,LT,2024-02,56,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,LT,2024-03,56,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,LT,2024-04,56,
