Title,Writer,Cast
The Curious Case of Benjamin Button,"Eric Roth, Robin Swicord, F. Scott Fitzgerald","Brad Pitt, Cate Blanchett, Tilda Swinton, Julia Ormond, Faune Chambers Watkins, Elias Koteas, Donna Duplantier, Jacob Tolano, Earl Maddox, Ed Metzger, Jason Flemyng, Danny Vinson, David Jensen, Joeanna Sayler, Taraji P. Henson, Mahershala Ali, Fiona Hale, Patrick Thomas O'Brien"
Predator,"Jim Thomas, John Thomas","Arnold Schwarzenegger, Carl Weathers, Kevin Peter Hall, Elpidia Carrillo, Bill Duke, Jesse Ventura, Sonny Landham, Richard Chaves, R.G. Armstrong, Shane Black, Steve Boyum, William H. Burton Jr., Franco Columbu, Peter Cullen, Henry Kingi, Sven-Ole Thorsen, Jack Verbois"
Ferris Bueller's Day Off,John Hughes,"Matthew Broderick, Alan Ruck, Mia Sara, Jeffrey Jones, Jennifer Grey, Cindy Pickett, Lyman Ward, Edie McClurg, Charlie Sheen, Ben Stein, Del Close, Virginia Capers, Richard Edson, Larry Flash Jenkins, Kristy Swanson, Lisa Bellard, Max Perlich, Scott Coffey"
Society of the Snow,"J.A. Bayona, Bernat Vilaplana, Jaime Marques","Enzo Vogrincic, Agustín Pardella, Matías Recalt, Esteban Bigliardi, Diego Vegezzi, Fernando Contingiani, Esteban Kukuriczka, Francisco Romero, Rafael Federman, Valentino Alonso, Tomas Wolf, Agustín Della Corte, Felipe Gonzalez Otaño, Andy Pruss, Blas Polidori, Felipe Ramusio, Simon Hempe, Luciano Chatton"
Remember the Titans,Gregory Allen Howard,"Denzel Washington, Will Patton, Wood Harris, Ryan Hurst, Donald Faison, Craig Kirkwood, Ethan Suplee, Kip Pardue, Hayden Panettiere, Nicole Ari Parker, Kate Bosworth, Earl Poitier, Ryan Gosling, Burgess Jenkins, Neal Ghant, David Jefferson, Preston Wigasi Brant, John Michael Weatherly"
Nightcrawler,Dan Gilroy,"Jake Gyllenhaal, Rene Russo, Bill Paxton, Riz Ahmed, Michael Papajohn, Marco Rodríguez, James Huang, Kent Shocknek, Pat Harvey, Sharon Tay, Rick Garcia, Leah Fredkin, Bill Seward, Rick Chambers, Holly Hannula, Jonny Coyne, Nick Chacon, Kevin Dunigan"
Star Wars: The Force Awakens,"Lawrence Kasdan, J.J. Abrams, Michael Arndt","Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson, Harrison Ford, Mark Hamill, Carrie Fisher, Adam Driver, Lupita Nyong'o, Andy Serkis, Anthony Daniels, Max von Sydow, Peter Mayhew, Gwendoline Christie, Joonas Suotamo, Pip Andersen, Simon Pegg, Kiran Shah"
Puss in Boots: The Last Wish,"Paul Fisher, Tommy Swerdlow, Tom Wheeler","Antonio Banderas, Salma Hayek, Harvey Guillén, Florence Pugh, Olivia Colman, Ray Winstone, Samson Kayo, John Mulaney, Wagner Moura, Da'Vine Joy Randolph, Anthony Mendez, Kevin McCann, Bernardo De Paula, Betsy Sodaro, Artemis Pebdani, Conrad Vernon, Cody Cameron, Kailey Crawford"
Nosferatu,"Bram Stoker, Henrik Galeen","Max Schreck, Alexander Granach, Gustav von Wangenheim, Greta Schröder, Georg H. Schnell, Ruth Landshoff, Gustav Botz, John Gottowt, Max Nemetz, Wolfgang Heinz, Albert Venohr, Karl Etlinger, Guido Herzfeld, Hans Lanser-Ludolff, Loni Nest, Josef Sareny, Fanny Schreck, Eric van Viele"
The Sandlot,"David Mickey Evans, Robert Gunter","Tom Guiry, Mike Vitar, Art LaFleur, Patrick Renna, Chauncey Leopardi, Marty York, Brandon Quintin Adams, Grant Gelt, Shane Obedzinski, Victor DiMattia, Denis Leary, Karen Allen, James Earl Jones, Marley Shelton, Herb Muller, Daniel Zacapa, Eddie Matthews, Keith Campbell"
Seven Days in May,"Fletcher Knebel, Charles W. Bailey II, Rod Serling","Burt Lancaster, Kirk Douglas, Fredric March, Ava Gardner, Edmond O'Brien, Martin Balsam, Andrew Duggan, Hugh Marlowe, Whit Bissell, Helen Kleeb, George Macready, Richard Anderson, Bart Burns, John Alban, Monya Andre, Malcolm Atterbury, Walter Bacon, Al Bain"
Captain America: Civil War,"Christopher Markus, Stephen McFeely, Joe Simon","Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan, Anthony Mackie, Don Cheadle, Jeremy Renner, Chadwick Boseman, Paul Bettany, Elizabeth Olsen, Paul Rudd, Emily VanCamp, Tom Holland, Daniel Brühl, Frank Grillo, William Hurt, Martin Freeman, Marisa Tomei"
Willy Wonka & the Chocolate Factory,"Roald Dahl, Robert Kaufman, David Seltzer","Gene Wilder, Jack Albertson, Peter Ostrum, Roy Kinnear, Julie Dawn Cole, Leonard Stone, Denise Nickerson, Nora Denney, Paris Themmen, Ursula Reit, Michael Bollner, Diana Sowle, Aubrey Woods, David Battley, Günter Meisner, Peter Capell, Werner Heyking, Peter Stuart"
A Bronx Tale,Chazz Palminteri,"Robert De Niro, Chazz Palminteri, Lillo Brancato, Francis Capra, Taral Hicks, Kathrine Narducci, Clem Caserta, Alfred Sauchelli Jr., Frank Pietrangolare, Joe Pesci, Robert D'Andrea, Eddie Montanaro, Fred Fischer, Dave Salerno, Joseph D'Onofrio, Luigi D'Angelo, Louis Vanaria, Dominick Rocchio"
Mary Poppins,"Bill Walsh, Don DaGradi, P.L. Travers","Julie Andrews, Dick Van Dyke, David Tomlinson, Glynis Johns, Hermione Baddeley, Reta Shaw, Karen Dotrice, Matthew Garber, Elsa Lanchester, Arthur Treacher, Reginald Owen, Ed Wynn, Jane Darwell, Arthur Malet, Walter Bacon, Frank Baker, Robert Banas, Don Barclay"
Little Miss Sunshine,Michael Arndt,"Steve Carell, Toni Collette, Greg Kinnear, Abigail Breslin, Paul Dano, Alan Arkin, Marc Turtletaub, Jill Talley, Brenda Canela, Julio Oscar Mechoso, Chuck Loring, Justin Shilton, Gordon Thomson, Steven Christopher Parker, Bryan Cranston, John Walcutt, Paula Newsome, Dean Norris"
Back to the Future Part II,"Robert Zemeckis, Bob Gale","Michael J. Fox, Christopher Lloyd, Lea Thompson, Tom Wilson, Elisabeth Shue, James Tolkan, Jeffrey Weissman, Casey Siemaszko, Billy Zane, J.J. Cohen, Charles Fleischer, E'Casanova, Jay Koch, Charles Gherardi, Ricky Dean Logan, Darlene Vogel, Jason Scott Lee, Elijah Wood"
Rise Roar Revolt,"Vijayendra Prasad, S.S. Rajamouli, Sai Madhav Burra","N.T. Rama Rao Jr., Ram Charan, Ajay Devgn, Alia Bhatt, Olivia Morris, Shriya Saran, Ray Stevenson, Alison Doody, Samuthirakani, Chandra Sekhar, Makrand Deshpande, Rajeev Kanakala, Rahul Ramakrishna, Edward Sonnenblick, Varun Buddhadev, Spandan Chaturvedi, Mark Bennington, Ahmareen Anjum"
The Fugitive,"Jeb Stuart, David Twohy, Roy Huggins","Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore, Joe Pantoliano, Andreas Katsulas, Jeroen Krabbé, Daniel Roebuck, L. Scott Caldwell, Tom Wood, Ron Dean, Joseph F. Kosala, Miguel Nino, John Drummond, Tony Fosco, Joseph F. Fisher, James Liautaud, David Darlow"
Misery,"Stephen King, William Goldman","James Caan, Kathy Bates, Richard Farnsworth, Frances Sternhagen, Lauren Bacall, Graham Jarvis, Jerry Potter, Thomas Brunelle, June Christopher, Julie Payne, Archie Hahn, Gregory Snegoff, Wendy Bowers, Misery the Pig, John Michael Quinn, Rob Reiner, J.T. Walsh, Jay Dee Witney"
The Last Samurai,"John Logan, Edward Zwick, Marshall Herskovitz","Tom Cruise, Ken Watanabe, Billy Connolly, William Atherton, Chad Lindberg, Ray Godshall Sr., Tony Goldwyn, Masato Harada, Masashi Odate, John Koyama, Timothy Spall, Shichinosuke Nakamura, Togo Igawa, Satoshi Nikaido, Shintaro Wada, Shin Koyamada, Hiroyuki Sanada, Shun Sugata"
Cast Away,William Broyles Jr.,"Tom Hanks, Helen Hunt, Paul Sanchez, Lari White, Leonid Citer, David Allen Brooks, Yelena Popovic, Valentina Ananina, Semion Sudarikov, Peter Von Berg, Dmitri S. Boudrine, François Duhamel, Michael Forest, Viveka Davis, Nick Searcy, Jennifer Choe, Nan Martin, Anne Bellamy"
The Man from Earth,Jerome Bixby,"David Lee Smith, Tony Todd, John Billingsley, Ellen Crawford, Annika Peterson, William Katt, Alexis Thorpe, Richard Riehle, Steven Littles, Chase Sprague, Robbie Bryan"
Glory,"Kevin Jarre, Lincoln Kirstein, Peter Burchard","Matthew Broderick, Denzel Washington, Cary Elwes, Morgan Freeman, Jihmi Kennedy, Andre Braugher, John Finn, Donovan Leitch Jr., JD Cullum, Alan North, Bob Gunton, Cliff De Young, Christian Baskous, RonReaco Lee, Jay O. Sanders, Richard Riehle, Daniel Jenkins, Michael Guess"
Baymax,"Jordan Roberts, Robert L. Baird, Daniel Gerson","Ryan Potter, Scott Adsit, Jamie Chung, T.J. Miller, Daniel Henney, Damon Wayans Jr., Genesis Rodriguez, James Cromwell, Alan Tudyk, Maya Rudolph, Abraham Benrubi, Katie Lowes, Billy Bush, Daniel Gerson, Paul Briggs, Charlotte Gulezian, David Shaughnessy, Kirk Baily"
Ang-ma-reul Bo-at-da,"Park Hoon-jung, Kim Jee-woon","Lee Byung-hun, Choi Min-sik, Jeon Gook-hwan, Chun Ho-jin, San-ha Oh, Kim Yun-Seo, Choi Moo-seong, In-seo Kim, Kim Kap-su, Lee Jun-hyuk, Jo Deok-jae, Han Cheol-woo, Myeong-Yeon Jo, Um Tae-goo, Se-joo Han, Choi Jin-ho, Kim Kang-il, Yoon Byung-hee"
Monster,Yûji Sakamoto,"Sakura Andô, Eita Nagayama, Soya Kurokawa, Hinata Hiiragi, Mitsuki Takahata, Akihiro Kakuta, Shidô Nakamura, Yûko Tanaka"
The Muppet Christmas Carol,"Charles Dickens, Jerry Juhl","Michael Caine, Dave Goelz, Steve Whitmire, Jerry Nelson, Frank Oz, David Rudman, Don Austen, Robert Tygner, Karen Prell, William Todd-Jones, Jessica Fox, Steven Mackintosh, Meredith Braun, Robin Weaver, Raymond Coulthard, Russell Martin, Theo Sanders, Kristopher Milnes"
The Untouchables,"David Mamet, Oscar Fraley, Eliot Ness","Kevin Costner, Sean Connery, Robert De Niro, Charles Martin Smith, Andy Garcia, Richard Bradford, Jack Kehoe, Brad Sullivan, Billy Drago, Patricia Clarkson, Vito D'Ambrosio, Steven Goldstein, Peter Aylward, Don Harvey, Robert Swan, John J. Walsh, Del Close, Colleen Bade"
Captain Fantastic,Matt Ross,"Viggo Mortensen, George MacKay, Samantha Isler, Annalise Basso, Nicholas Hamilton, Shree Crooks, Charlie Shotwell, Trin Miller, Kathryn Hahn, Steve Zahn, Elijah Stevenson, Teddy Van Ee, Erin Moriarty, Missi Pyle, Frank Langella, Ann Dowd, Galen Osier, Hannah Horton"
Moon,"Duncan Jones, Nathan Parker","Sam Rockwell, Kevin Spacey, Dominique McElligott, Rosie Shaw, Adrienne Shaw, Kaya Scodelario, Benedict Wong, Matt Berry, Malcolm Stewart, Robin Chalk, Gavin Rothery, Gary Shaw, Mick Ward"
Boyz N the Hood,John Singleton,"Cuba Gooding Jr., Laurence Fishburne, Hudhail Al-Amir, Lloyd Avery II, Angela Bassett, Miya McGhee, Lexie Bigham, Kenneth A. Brown, Nicole Brown, Ceal, Morris Chestnut, Darneicea Corley, John Cothran, Ice Cube, Na'Blonka Durden, Susan Falcon, Jessie Lawrence Ferguson, Tyra Ferrell"
Straight Outta Compton,"Jonathan Herman, Andrea Berloff, S. Leigh Savidge","O'Shea Jackson Jr., Corey Hawkins, Jason Mitchell, Neil Brown Jr., Aldis Hodge, Marlon Yates Jr., R. Marcus Taylor, Carra Patterson, Alexandra Shipp, Paul Giamatti, Elena Goode, Keith Powers, Joshua Brockington, Sheldon A. Smith, LaKeith Stanfield, Cleavon McClendon, Aeriél Miranda, Lisa Renee Pitts"
Midnight Cowboy,"Waldo Salt, James Leo Herlihy","Dustin Hoffman, Jon Voight, Sylvia Miles, John McGiver, Brenda Vaccaro, Barnard Hughes, Ruth White, Jennifer Salt, Gilman Rankin, Gary Owens, T. Tom Marlow, George Eppersen, Al Scott, Linda Davis, J.T. Masters, Arlene Reeder, Georgann Johnson, Jonathan Kramer"
Låt den rätte komma in,John Ajvide Lindqvist,"Kåre Hedebrant, Lina Leandersson, Per Ragnar, Henrik Dahl, Karin Bergquist, Peter Carlberg, Ika Nord, Mikael Rahm, Karl-Robert Lindgren, Anders T. Peedu, Pale Olofsson, Cayetano Ruiz, Patrik Rydmark, Johan Charles, Mikael Erhardsson, Rasmus Luthander, Sören Källstigen, Malin Cederblad"
Moonrise Kingdom,"Wes Anderson, Roman Coppola","Jared Gilman, Kara Hayward, Bruce Willis, Bill Murray, Edward Norton, Frances McDormand, Tilda Swinton, Jason Schwartzman, Bob Balaban, Lucas Hedges, Charlie Kilgore, Andreas Sheikh, Chandler Frantz, Robert Hadlock, L.J. Foley, Gabriel Rush, Seamus Davey-Fitzpatrick, Tommy Nelson"
Captain Phillips,"Billy Ray, Richard Phillips, Stephan Talty","Tom Hanks, Barkhad Abdi, Barkhad Abdirahman, Catherine Keener, Faysal Ahmed, Mahat M. Ali, Michael Chernus, David Warshofsky, Corey Johnson, Chris Mulkey, Yul Vazquez, Max Martini, Omar Berdouni, Mohamed Ali, Issak Farah Samatar, Thomas Grube, Mark Holden, San Shella"
The Insider,"Marie Brenner, Eric Roth, Michael Mann","Russell Crowe, Al Pacino, Christopher Plummer, Diane Venora, Philip Baker Hall, Lindsay Crouse, Debi Mazar, Stephen Tobolowsky, Colm Feore, Bruce McGill, Gina Gershon, Michael Gambon, Rip Torn, Lynne Thigpen, Hallie Eisenberg, Michael Paul Chan, Linda Hart, Robert Harper"
Brazil,"Terry Gilliam, Tom Stoppard, Charles McKeown","Jonathan Pryce, Kim Greist, Robert De Niro, Katherine Helmond, Ian Holm, Bob Hoskins, Michael Palin, Ian Richardson, Peter Vaughan, Jim Broadbent, Barbara Hicks, Charles McKeown, Derrick O'Connor, Kathryn Pogson, Bryan Pringle, Sheila Reid, John Flanagan, Ray Cooper"
Serenity,Joss Whedon,"Nathan Fillion, Gina Torres, Chiwetel Ejiofor, Alan Tudyk, Morena Baccarin, Adam Baldwin, Jewel Staite, Sean Maher, Summer Glau, Ron Glass, David Krumholtz, Michael Hitchcock, Sarah Paulson, Yan Feldman, Rafael Feldman, Nectar Rose, Tamara Taylor, Glenn Howerton"
Walk the Line,"Johnny Cash, Gill Dennis, James Mangold","Joaquin Phoenix, Reese Witherspoon, Ginnifer Goodwin, Robert Patrick, Dallas Roberts, Dan John Miller, Larry Bagby, Shelby Lynne, Tyler Hilton, Waylon Payne, Shooter Jennings, Sandra Ellis Lafferty, Dan Beene, Clay Steakley, Johnathan Rice, John Holiday, Ridge Canipe, Lucas Till"
The Fighter,"Scott Silver, Paul Tamasy, Eric Johnson","Mark Wahlberg, Christian Bale, Amy Adams, Melissa Leo, Mickey O'Keefe, Jack McGee, Melissa McMeekin, Bianca Hunter, Erica McDermott, Jill Quigg, Dendrie Taylor, Kate B. O'Brien, Jenna Lamia, Frank Renzulli, Paul Campbell, Caitlin Dwyer, Chanty Sok, Ted Arcidi"
Awakenings,"Oliver Sacks, Steven Zaillian","Robert De Niro, Robin Williams, Julie Kavner, Ruth Nelson, John Heard, Penelope Ann Miller, Alice Drummond, Judith Malina, Barton Heyman, George Martin, Anne Meara, Richard Libertini, Laura Esterman, Dexter Gordon, Jayne Haynes, Le Clanché du Rand, Yusef Bulos, Steven Randazzo"
Breaking the Waves,"Lars von Trier, Peter Asmussen, David Pirie","Emily Watson, Stellan Skarsgård, Katrin Cartlidge, Jean-Marc Barr, Adrian Rawlins, Jonathan Hackett, Sandra Voe, Udo Kier, Mikkel Gaup, Roef Ragas, Phil McCall, Robert Robertson, Desmond Reilly, Sarah Gudgeon, Finlay Welsh, David Gallacher, Ray Jeffries, Owen Kavanagh"
Mississippi Burning,Chris Gerolmo,"Gene Hackman, Willem Dafoe, Frances McDormand, Brad Dourif, R. Lee Ermey, Gailard Sartain, Stephen Tobolowsky, Michael Rooker, Pruitt Taylor Vince, Badja Djola, Kevin Dunn, Frankie Faison, Thomas B. Mason, Geoffrey Nauffts, Rick Zieff, Christopher White, Gladys Greer, Jake Gipson"
Män som hatar kvinnor,"Nikolaj Arcel, Rasmus Heisterberg, Stieg Larsson","Michael Nyqvist, Noomi Rapace, Ewa Fröling, Lena Endre, Sven-Bertil Taube, Peter Haber, Peter Andersson, Marika Lagercrantz, Ingvar Hirdwall, Björn Granath, Michalis Koutsogiannakis, Annika Hallin, Sofia Papadimitriou Ledarp, Tomas Köhler, David Dencik, Stefan Sauk, Gösta Bredefeldt, Fredrik Ohlsson"
Close,"Lukas Dhont, Angelo Tijssens","Eden Dambrine, Gustav De Waele, Émilie Dequenne, Léa Drucker, Igor van Dessel, Kevin Janssens, Marc Weiss, Léon Bataille, Serine Ayari, Robin Keyaert, Herman van Slambrouck, Iven Deduytschaver, Jeffrey Vanhaeren, Hélène Theunissen, Baptiste Bataille, Pieter Piron, Freya De Corte, Cachou Kirsch"
Hunt for the Wilderpeople,"Taika Waititi, Barry Crump, Tearepa Kahi","Sam Neill, Julian Dennison, Rima Te Wiata, Rachel House, Tioreore Ngatai-Melbourne, Oscar Kightley, Stan Walker, Mike Minogue, Cohen Holloway, Rhys Darby, Troy Kingi, Taika Waititi, Hamish Parkinson, Stu Giles, Lloyd Scott, Selina Woulfe, Mabelle Dennison, Sonia Spyve"
Aavesham,Jithu Madhavan,"Fahadh Faasil, Hipzster, Mithun Jai Shankar, Roshan Shanavas, Sajin Gopu, Midhutty, Mansoor Ali Khan, Pooja Mohanraj, Ashish Vidyarthi, Neeraja Rajendran, Pramod Velliyanad, Sreejith Nair, Krishna Kumar, Freestyle Krishna, Himanshu, Thankam Mohan, Preety Bhardwaj, Gaurav Mahaur"
Gaslight,"John Van Druten, Walter Reisch, John L. Balderston","Charles Boyer, Ingrid Bergman, Joseph Cotten, May Whitty, Angela Lansbury, Barbara Everest, Emil Rameau, Edmund Breon, Halliwell Hobbes, Tom Stevenson, Heather Thatcher, Lawrence Grossmith, Jakob Gimpel, Harry Adams, Lassie Lou Ahern, John Ardizoni, Frank Baker, Wilson Benge"
Lilja 4-ever,Lukas Moodysson,"Oksana Akinshina, Artyom Bogucharskiy, Pavel Ponomaryov, Lyubov Agapova, Liliya Shinkaryova, Elina Benenson, Tomasz Neuman, Anastasiya Bedredinova, Tõnu Kark, Nikolai Bentsler, Aleksander Dorosjkevitch, Yevgeni Gurov, Aleksandr Sokolenko, Margo Kostelina, Veronika Kovtun, Jelena Jakovlena, Tamara Solodnikova, Nikolai Kutt"
The King of Comedy,Paul D. Zimmerman,"Robert De Niro, Jerry Lewis, Diahnne Abbott, Sandra Bernhard, Ed Herlihy, Lou Brown, Loretta Tupper, Peter Potulski, Vinnie Gonzales, Whitey Ryan, Doc Lawless, Marta Heflin, Katherine Wallach, Charles Kaleina, Richard Baratz, Catherine Scorsese, Cathy Scorsese, Chuck Low"
Cabaret,"Joe Masteroff, John Van Druten, Christopher Isherwood","Liza Minnelli, Michael York, Helmut Griem, Joel Grey, Fritz Wepper, Marisa Berenson, Elisabeth Neumann-Viertel, Helen Vita, Sigrid von Richthofen, Gerd Vespermann, Ralf Wolter, Georg Hartmann, Ricky Renée, Estrongo Nachama, Kathryn Doby, Inge Jaeger, Angelika Koch, Helen Velkovorska"
All That Jazz,"Robert Alan Aurthur, Bob Fosse","Roy Scheider, Jessica Lange, Ann Reinking, Leland Palmer, Cliff Gorman, Ben Vereen, Erzsebet Foldi, Michael Tolan, Max Wright, William LeMassena, Irene Kane, Deborah Geffner, Kathryn Doby, Anthony Holland, Robert Hitt, David Margulies, Susan Brooks, Keith Gordon"
The Searchers,"Frank S. Nugent, Alan Le May, Charles Dorat","John Wayne, Jeffrey Hunter, Vera Miles, Ward Bond, Natalie Wood, John Qualen, Olive Carey, Henry Brandon, Ken Curtis, Harry Carey Jr., Antonio Moreno, Hank Worden, Beulah Archuletta, Walter Coy, Dorothy Jordan, Pippa Scott, Patrick Wayne, Lana Wood"
Thirteen Lives,"William Nicholson, Don MacPherson","Viggo Mortensen, Colin Farrell, Joel Edgerton, Tom Bateman, Paul Gleeson, Girati Sugiyama, Teeradon Supapunpinyo, Pasakorn Hoyhon, Tanatat Srita, Nophand Boonyai, Kaokuson Sorapap, Sukniran Sukcharoen, Ensai O'Haire, Thanthapthai Chanin, Achi Jinapanyo, Thanaphat Thopiata, Phitakphong Boonnet, Joe Chuensawan"
Charade,"Peter Stone, Marc Behm, Jeanne Saintenoy","Cary Grant, Audrey Hepburn, Walter Matthau, James Coburn, George Kennedy, Dominique Minot, Ned Glass, Jacques Marin, Paul Bonifas, Thomas Chelimsky, Marc Arian, Claudine Berg, Marcel Bernier, Georges Billy, Albert Daumergue, Raoul Delfosse, Lucien Desagneaux, Stanley Donen"
Majo No Takkyûbin,"Eiko Kadono, Hayao Miyazaki","Kirsten Dunst, Minami Takayama, Rei Sakuma, Kappei Yamaguchi, Keiko Toda, Mieko Nobusawa, Kôichi Miura, Haruko Katô, Hiroko Seki, Yuriko Fuchizaki, Kôichi Yamadera, Kikuko Inoue, Yûko Kobayashi, Mika Doi, Takaya Hashi, Chika Sakamoto, Toshiko Asai, Yoshiko Kamei"
Isle of Dogs,"Wes Anderson, Roman Coppola, Jason Schwartzman","Bryan Cranston, Koyu Rankin, Edward Norton, Bob Balaban, Jeff Goldblum, Bill Murray, Kunichi Nomura, Akira Takayama, Greta Gerwig, Frances McDormand, Akira Ito, Scarlett Johansson, Harvey Keitel, F. Murray Abraham, Yoko Ono, Tilda Swinton, Ken Watanabe, Mari Natsuki"
Trois Couleurs: Bleu,"Krzysztof Kieslowski, Krzysztof Piesiewicz, Agnieszka Holland","Juliette Binoche, Zbigniew Zamachowski, Julie Delpy, Benoît Régent, Florence Pernel, Charlotte Véry, Hélène Vincent, Philippe Volter, Claude Duneton, Hugues Quester, Emmanuelle Riva, Florence Vignon, Daniel Martin, Jacek Ostaszewski, Catherine Therouenne, Yann Trégouët, Alain Ollivier, Isabelle Sadoyan"
Night of the Living Dead,"John A. Russo, George A. Romero","Duane Jones, Judith O'Dea, Karl Hardman, Marilyn Eastman, Keith Wayne, Judith Ridley, Kyra Schon, Charles Craig, S. William Hinzman, George Kosana, Frank Doak, Bill Cardille, A.C. McDonald, Samuel R. Solito, Mark Ricci, Lee Hartman, Jack Givens, Rudy Ricci"
Dawn of the Dead,George A. Romero,"David Emge, Ken Foree, Scott H. Reiniger, Gaylen Ross, David Crawford, David Early, Richard France, Howard Smith, Daniel Dietrich, Fred Baker, James A. Baffico, Rod Stouffer, Jese Del Gre, Clayton McKinnon, John Rice, Ted Bank, Randy Kovitz, Patrick McCloskey"
Kramer vs. Kramer,"Avery Corman, Robert Benton, Meryl Streep","Dustin Hoffman, Meryl Streep, Jane Alexander, Justin Henry, Howard Duff, George Coe, JoBeth Williams, Bill Moor, Howland Chamberlain, Jack Ramage, Jess Osuna, Nicholas Hormann, Ellen Parker, Shelby Brammer, Carol Nadell, Donald Gantry, Judith Calder, Peter Lownds"
The World's Fastest Indian,Roger Donaldson,"Anthony Hopkins, Diane Ladd, Iain Rea, Tessa Mitchell, Aaron Murphy, Tim Shadbolt, Annie Whittle, Greg Johnson, Antony Starr, Kate Sullivan, Craig Hall, Jim Bowman, Alison Bruce, Phoebe Falconer, Charles Pierard, Barry Ryan, Bill Richardson, Mick Rose"
The Killing Fields,Bruce Robinson,"Sam Waterston, Haing S. Ngor, John Malkovich, Julian Sands, Craig T. Nelson, Spalding Gray, Bill Paterson, Athol Fugard, Graham Kennedy, Katherine Krapum Chey, Oliver Pierpaoli, Edward Entero Chey, Tom Bird, Monirak Sisowath, Lambool Dtangpaibool, Ira Wheeler, David Henry, Patrick Malahide"
The Remains of the Day,"Kazuo Ishiguro, Ruth Prawer Jhabvala","Anthony Hopkins, Emma Thompson, John Haycraft, Christopher Reeve, Caroline Hunt, James Fox, Peter Vaughan, Paula Jacobs, Ben Chaplin, Steve Dibben, Abigail Hopkins, Patrick Godfrey, Peter Cellier, Peter Halliday, Hugh Grant, Terence Bayler, Jeffry Wickham, Hugh Sweetman"
Bramayugam,"Rahul Sadasivan, T.D. Ramakrishnan","Mammootty, Arjun Ashokan, Sidharth Bharathan, Amalda Liz, Manikandan R. Achari, Aluva Sheeba Sebastian, Akash Chandran, Rafnas Rafeek, Andrè, Sergi, Nikola, Stas, Vitalii, Zabi, Dmitri Sergeev, Alex, Sergé, Andrey"
The Outlaw: Josey Wales,"Forrest Carter, Philip Kaufman, Sonia Chernus","Clint Eastwood, Sondra Locke, Chief Dan George, Bill McKinney, John Vernon, Paula Trueman, Sam Bottoms, Geraldine Keams, Woodrow Parfrey, Joyce Jameson, Sheb Wooley, Royal Dano, Matt Clark, John Verros, Will Sampson, William O'Connell, John Quade, Frank Schofield"
La Migliore Offerta,Giuseppe Tornatore,"Geoffrey Rush, Jim Sturgess, Sylvia Hoeks, Donald Sutherland, Philip Jackson, Dermot Crowley, Kiruna Stamell, Liya Kebede, Caterina Capodilista, Gen Seto, Klaus Tauber, Maximilian Dirr, Laurence Belgrave, Sean Buchanan, John Benfield, Miles Richardson, Jim Conway, Brigitte Christensen"
Birdman of Alcatraz,"Guy Trosper, Thomas E. Gaddis","Burt Lancaster, Karl Malden, Thelma Ritter, Neville Brand, Betty Field, Telly Savalas, Edmond O'Brien, Hugh Marlowe, Whit Bissell, Crahan Denton, James Westerfield, Robert Bailey, Nicky Blair, John Burnside, Robert Burton, Mushy Callahan, James J. Casino, James Cavanaugh"
October Sky,"Homer H. Hickam Jr., Lewis Colick","Jake Gyllenhaal, Chris Cooper, Laura Dern, Chris Owen, William Lee Scott, Chad Lindberg, Natalie Canerday, Scott Thomas, Randy Stripling, Chris Ellis, Elya Baskin, Courtney Cole-Fendley, David Dwyer, Terry Loughlin, Kaili Hollister, David Copeland, Don Henderson Baker, Tom Kagy"
Ed Wood,"Rudolph Grey, Scott Alexander, Larry Karaszewski","Johnny Depp, Martin Landau, Sarah Jessica Parker, Patricia Arquette, Jeffrey Jones, G.D. Spradlin, Vincent D'Onofrio, Bill Murray, Mike Starr, Max Casella, Brent Hinkley, Lisa Marie, George 'The Animal' Steele, Juliet Landau, Clive Rosengren, Norman Alden, Leonard Termo, Ned Bellamy"
Kaze Tachinu,Hayao Miyazaki,"Hideaki Anno, Hidetoshi Nishijima, Miori Takimoto, Masahiko Nishimura, Mansai Nomura, Jun Kunimura, Mirai Shida, Stephen Alpert, Shinobu Ôtake, Morio Kazama, Keiko Takeshita, Joseph Gordon-Levitt, John Krasinski, Emily Blunt, Martin Short, Stanley Tucci, Mandy Patinkin, Mae Whitman"
The Artist,Michel Hazanavicius,"Jean Dujardin, Bérénice Bejo, John Goodman, James Cromwell, Penelope Ann Miller, Missi Pyle, Beth Grant, Ed Lauter, Joel Murray, Elizabeth Tulloch, Ken Davitian, Malcolm McDowell, Basil Hoffman, Bill Fagerbakke, Nina Siemaszko, Stephen Mendillo, Dash Pomerantz, Beau Nelson"
Frankenstein,"John L. Balderston, Mary Shelley, Peggy Webling","Colin Clive, Mae Clarke, Boris Karloff, John Boles, Edward Van Sloan, Frederick Kerr, Dwight Frye, Lionel Belmore, Marilyn Harris, Ted Billings, Mae Bruce, Jack Curtis, Arletta Duncan, William Dyer, Francis Ford, Soledad Jiménez, Carmencita Johnson, Seessel Anne Johnson"
