title,genre,popularity
WALL·E,"Animation,Family,Science Fiction",91.446
Hidden Figures,"Drama,History",147.925
Prisoners,"Drama,Thriller,Crime",43.621
Elite Squad,"Drama,Action,Crime",38.224
Cool Kids Don't Cry,"Family,Romance,Drama",10.389
My Name Is Khan,"Drama,Romance",31.328
Judgment at Nuremberg,"Drama,History,War",12.291
On My Skin,Drama,9.884
Weathering with You,"Animation,Drama,Fantasy,Romance",120.378
Finch,"Science Fiction,Drama,Adventure",194.632
Room,"Drama,Thriller",25.256
The Grand Budapest Hotel,"Comedy,Drama",24.37
Poverty and Nobility,Comedy,6.194
Sing 2,"Animation,Comedy,Family,Music",545.619
Gifted,"Drama,Comedy",51.986
Spider-Man: No Way Home,"Action,Adventure,Science Fiction",1713.86
In a Heartbeat,"Family,Animation,Romance,Comedy",6.147
Along with the Gods: The Two Worlds,"Drama,Fantasy,Action",54.393
The Lives of Others,"Drama,Thriller",10.703
All My Life,"Romance,Drama",17.382
The Sting,"Comedy,Crime,Drama",12.996
To Kill a Mockingbird,"Crime,Drama",16.546
The Wages of Fear,"Drama,Thriller,Adventure",6.469
Wish Dragon,"Animation,Family,Comedy,Fantasy",135.036
Innocent Voices,"Drama,War",28.507
The Circus,"Comedy,Romance",6.502
Chungking Express,"Drama,Comedy,Romance",20.608
The General,"Action,Adventure,Comedy,Drama,War",11.124
The Second Mother,Drama,7.568
Prayers for Bobby,"Drama,History,TV Movie",10.97
For a Few Dollars More,Western,25.92
Song of the Sea,"Family,Animation,Fantasy",10.578
In This Corner of the World,"Drama,Animation,Romance,War,History",36.278
The Young and the Damned,"Crime,Drama",9.6
The Treasure of the Sierra Madre,"Adventure,Drama,Western",10.992
Dial M for Murder,"Crime,Thriller",13.074
Palmer,Drama,51.52
Bingo: The King of the Mornings,"Comedy,Drama",5.294
The Hidden Fortress,"Adventure,Drama,Action,Comedy",11.374
CODA,"Drama,Music,Romance",46.461
"Veinteañera, Divorciada y Fantástica",Comedy,9.596
Ivan Vasilyevich Changes His Profession,"Comedy,Science Fiction",8.989
The Gold Rush,"Adventure,Comedy,Drama",11.942
Requiem for a Dream,"Crime,Drama",14.696
"Rome, Open City","Drama,History",9.061
American Beauty,Drama,20.94
The Cranes Are Flying,"Drama,Romance,War",11.251
The Wolf of Wall Street,"Crime,Drama,Comedy",182.109
Citizen Kane,"Mystery,Drama",19.625
El mesero,Comedy,70.415
Miracle in Cell No. 7,"Drama,Comedy",16.931
The Deer Hunter,"Drama,War",15.015
A Man Escaped,"Thriller,Drama,War,History",13.153
Nobody Knows,Drama,12.167
Amadeus,"History,Music,Drama",19.342
The Boy and the Beast,"Animation,Fantasy,Action,Adventure,Drama",47.388
No Manches Frida 2,Comedy,129.572
Where Hands Touch,"War,Drama,Romance",10.836
Autumn Sonata,Drama,13.787
Harry Potter and the Prisoner of Azkaban,"Adventure,Fantasy",269.516
The Thing,"Horror,Mystery,Science Fiction",42.953
Bohemian Rhapsody,"Music,Drama,History",79.323
On the Waterfront,"Crime,Drama",10.632
The Imitation Game,"History,Drama,Thriller,War",79.903
Like Stars on Earth,Drama,29.107
Casino,"Crime,Drama",20.493
Belle,"Animation,Drama,Science Fiction,Music",230.739
The Mitchells vs. the Machines,"Animation,Adventure,Comedy",35.807
Hachi: A Dog's Tale,"Drama,Family",46.039
Pink Floyd: The Wall,"Music,Drama",13.524
The Way He Looks,"Drama,Romance",8.37
The Secret in Their Eyes,"Crime,Drama,Mystery",15.563
Tae Guk Gi: The Brotherhood of War,"Action,Adventure,Drama,History,War",19.135
Forgotten,"Thriller,Mystery,Drama,Horror,Crime",33.556
Gone with the Wind,"Drama,War,Romance",26.427
A Whisker Away,"Animation,Drama,Romance,Fantasy",69.562
Paperman,"Animation,Family,Romance",8.007
Gran Torino,Drama,30.877
Barry Lyndon,"Drama,Romance,War",13.443
La Notte,"Drama,Romance",8.121
Ford v Ferrari,"Drama,Action,History",51.999
Sanjuro,"Drama,Action,Comedy",12.524
When Marnie Was There,"Animation,Drama",45.105
North by Northwest,"Mystery,Thriller",15.329
Dangal,"Drama,Action",11.406
My Way,"Drama,Action,History,War",14.775
Scooby-Doo! and the Curse of the 13th Ghost,"Comedy,Family,Animation,Adventure,Mystery",13.866
Rope,"Crime,Drama,Thriller",12.661
Raging Bull,"Drama,History",20.938
The Third Man,"Thriller,Mystery",10.808
Operation Y and Other Shurik's Adventures,Comedy,9.284
The Exterminating Angel,"Comedy,Drama,Fantasy",7.062
The Shop Around the Corner,"Comedy,Drama,Romance",15.611
Castaway on the Moon,"Drama,Comedy,Romance",9.122
Limelight,"Drama,Music,Romance",8.874
Raya and the Last Dragon,"Animation,Family,Fantasy,Action,Adventure",221.83
Inner Workings,"Animation,Family,Comedy",6.677
Cries and Whispers,Drama,10.151
"Remi, Nobody's Boy","Adventure,Family,Drama",11.718
"Batman: The Dark Knight Returns, Part 2","Science Fiction,Action,Animation,Mystery",17.253
Words on Bathroom Walls,"Drama,Romance",11.647
Army of Shadows,"War,Drama,Thriller",9.168
An Egg Rescue,"Animation,Comedy",164.059
Bad Genius,"Comedy,Drama,Crime,Thriller",16.315
3 Idiots,"Drama,Comedy",47.97
Trainspotting,"Drama,Crime",25.467
1917,"War,Drama,Action,Thriller,History",41.834
Lawrence of Arabia,"War,History,Adventure,Drama",22.59
It's Such a Beautiful Day,"Drama,Animation,Comedy",6.092
Castle in the Sky,"Adventure,Fantasy,Animation,Action,Family,Romance",37.878
Scooby-Doo! Camp Scare,"Animation,Comedy,Family,Mystery",34.982
Divorce Italian Style,Comedy,8.363
La Strada,Drama,8.508
Kill Bill: Vol. 1,"Action,Crime",42.467
Three Men and a Leg,Comedy,7.464
A Trip to the Moon,"Adventure,Science Fiction",15.828
Three Colors: Red,"Drama,Mystery,Romance",15.038
Girl in the Basement,"Crime,Thriller",222.729
What Ever Happened to Baby Jane?,"Drama,Horror,Thriller",10.735
Raise the Red Lantern,Drama,11.32
Toy Story,"Animation,Adventure,Family,Comedy",218.376
The Battle of Algiers,"Drama,War,History",7.06
Throne of Blood,"Drama,History",11.394
Million Dollar Baby,Drama,20.343
My Father's Violin,"Drama,Music",33.154
Kill Bill: The Whole Bloody Affair,"Action,Crime,Thriller",21.607
My Hero Academia: Two Heroes,"Animation,Action,Adventure,Fantasy",193.509
The Cameraman,"Comedy,Romance,Drama,Family",7.215
Before Sunrise,"Drama,Romance",18.804
Children of Heaven,"Drama,Family",24.82
Where Is My Friend's House?,"Drama,Family",7.118
The Tomorrow War,"Action,Science Fiction,Adventure",256.603
The Cabinet of Dr. Caligari,"Drama,Horror,Thriller,Crime",15.592
