job_title,work_year,salary_in_usd,company_location,company_size
Data Scientist,2023,305600,US,M
Machine Learning Engineer,2023,305600,US,M
Machine Learning Engineer,2023,305600,US,M
Data Scientist,2023,305600,US,M
AI Architect,2023,305100,US,M
ML Engineer,2023,305000,US,M
Data Engineer,2023,305000,US,M
Data Engineer,2024,304750,US,M
Machine Learning Engineer,2024,304750,US,M
Data Engineer,2023,304750,US,M
Data Engineer,2023,304200,US,M
Machine Learning Engineer,2023,304000,US,M
Machine Learning Engineer,2024,303400,US,M
Machine Learning Engineer,2024,303400,US,M
Machine Learning Engineer,2024,303400,CA,M
Machine Learning Engineer,2024,303400,US,M
Research Scientist,2024,303050,US,M
Research Scientist,2023,303050,US,M
Research Scientist,2023,303050,US,M
Research Scientist,2023,303050,US,M
Research Scientist,2024,302840,US,M
Machine Learning Software Engineer,2023,302000,US,M
Data Scientist,2023,300240,US,M
Data Scientist,2023,300240,US,M
Data Infrastructure Engineer,2023,300105,US,M
Machine Learning Infrastructure Engineer,2024,300000,US,M
Data Science,2024,300000,US,M
Data Engineer,2024,300000,US,M
Research Scientist,2024,300000,US,M
Research Analyst,2024,300000,US,M
Research Analyst,2024,300000,US,M
Research Analyst,2024,300000,US,M
Data Science,2024,300000,US,M
Data Science,2024,300000,US,M
Research Engineer,2024,300000,GB,M
Data Science,2024,300000,US,M
ML Engineer,2024,300000,US,M
Machine Learning Engineer,2024,300000,US,M
Machine Learning Engineer,2024,300000,US,M
Data Science,2024,300000,US,M
Machine Learning Engineer,2024,300000,US,M
Machine Learning Engineer,2024,300000,US,M
Research Engineer,2023,300000,US,M
Data Engineer,2023,300000,US,M
Machine Learning Engineer,2023,300000,US,M
Machine Learning Engineer,2023,300000,US,M
Data Scientist,2023,300000,US,M
Machine Learning Engineer,2023,300000,US,M
Data Engineer,2023,300000,US,M
Machine Learning Engineer,2023,300000,US,M
Data Engineer,2023,300000,US,M
Data Engineer,2023,300000,US,M
Research Engineer,2023,300000,US,M
Research Engineer,2023,300000,US,M
Machine Learning Scientist,2023,300000,US,M
Analytics Engineer,2023,369120,GB,M
Research Scientist,2023,300000,US,M
Data Scientist,2023,300000,US,M
Data Engineer,2023,300000,US,M
Research Scientist,2023,300000,US,M
ML Engineer,2023,300000,US,M
AI Engineer,2023,369120,GB,M
Data Analyst,2023,369120,GB,M
Machine Learning Engineer,2023,300000,US,M
Machine Learning Engineer,2023,300000,US,M
AI Engineer,2023,300000,QA,M
Data Scientist,2023,300000,US,M
Data Scientist,2023,300000,US,M
Data Engineer,2023,300000,US,M
Machine Learning Engineer,2023,300000,US,M
Machine Learning Engineer,2023,300000,GB,M
Managing Director Data Science,2020,300000,US,L
ML Engineer,2023,300000,AU,M
Finance Data Analyst,2023,323905,US,M
Machine Learning Engineer,2023,300000,US,M
Data Engineer,2023,300000,US,M
Data Engineer,2023,300000,US,M
Data Scientist,2023,300000,US,M
Data Engineer,2022,300000,US,M
Research Scientist,2022,300000,US,M
Data Engineer,2022,300000,US,M
Data Engineer,2022,300000,US,M
Data Engineer,2022,300000,US,M
Data Science Manager,2022,300000,US,M
AI Scientist,2020,45896,DK,S
Data Architect,2024,299792,US,M
Data Science Manager,2023,299500,US,M
Data Scientist,2023,299500,US,M
Data Science Manager,2023,299500,US,M
Data Science Manager,2023,299500,US,M
Data Science Manager,2023,299500,US,M
Data Science Manager,2023,299500,US,M
Data Science Manager,2023,299500,US,M
Data Science Manager,2023,299500,US,M
Data Science Manager,2023,299500,US,M
Data Science Manager,2022,299500,US,M
Machine Learning Engineer,2023,299000,US,M
Data Engineer,2022,297500,US,M
Data Scientist,2023,297300,US,M
Data Science Manager,2023,297300,US,M
Machine Learning Engineer,2023,297300,US,M
Machine Learning Engineer,2023,297300,US,M
Data Scientist,2023,297300,US,M
Data Scientist,2023,297300,US,M
ML Engineer,2023,297300,US,M
Machine Learning Engineer,2023,297300,US,M
Data Scientist,2023,297300,US,M
Data Scientist,2023,297300,US,M
Data Science Manager,2023,297300,US,M
Data Scientist,2023,297300,US,M
Data Scientist,2024,297000,US,M
Data Scientist,2024,297000,US,M
Data Scientist,2024,297000,US,M
Data Scientist,2023,297000,US,M
Machine Learning Engineer,2023,297000,US,M
Data Scientist,2024,296980,US,M
Data Scientist,2023,296980,US,M
Machine Learning Engineer,2024,296400,US,M
Machine Learning Engineer,2023,296400,US,M
Machine Learning Engineer,2023,296400,US,M
Machine Learning Engineer,2023,296400,US,M
Data Scientist,2024,296100,US,M
Data Scientist,2023,296100,US,M
Machine Learning Engineer,2023,295500,US,M
Data Scientist,2024,295490,US,M
Data Scientist,2023,295490,US,M
Data Scientist,2023,295490,US,M
Data Scientist,2023,295490,US,M
Data Scientist,2023,295490,US,M
Data Scientist,2023,295490,US,M
Data Scientist,2023,295490,US,M
Data Scientist,2023,295490,US,M
Research Engineer,2024,295000,US,M
Research Engineer,2024,295000,US,M
Data Engineer,2024,295000,US,M
Research Engineer,2024,295000,US,M
Research Engineer,2024,295000,US,M
Research Scientist,2024,295000,US,M
Research Engineer,2024,295000,US,M
Research Scientist,2024,295000,US,M
Research Engineer,2024,295000,US,M
Data Scientist,2023,295000,US,M
Data Scientist,2024,294000,US,M
Machine Learning Engineer,2023,294000,US,M
Research Scientist,2023,293000,US,M
Data Engineer,2023,293000,US,M
Research Engineer,2023,293000,US,M
Machine Learning Scientist,2023,292200,US,M
Machine Learning Scientist,2023,292000,US,M
Data Analyst,2024,291900,US,M
ML Engineer,2023,291500,US,M
Data Engineer,2023,291500,US,M
Data Engineer,2023,291500,US,M
Data Engineer,2023,290300,US,M
Research Scientist,2024,290000,US,M
Machine Learning Engineer,2024,290000,US,M
Machine Learning Engineer,2024,290000,US,M
Research Engineer,2024,290000,US,M
Applied Scientist,2024,290000,US,M
Head of Data,2024,290000,US,M
Data Scientist,2023,290000,US,M
ML Engineer,2023,290000,US,M
Head of Data,2023,290000,US,L
Data Engineer,2023,290000,US,M
Analytics Engineer,2023,289800,US,M
Analytics Engineer,2023,289800,GB,M
Analytics Engineer,2023,289800,US,M
Analytics Engineer,2023,289800,US,M
Data Operations Engineer,2023,289120,US,M
Machine Learning Engineer,2023,289076,US,M
