index_code,expenditure_on _education_pct_gdp,mortality_rate_infant,gini_index,gdp_per_capita_ppp,inflation_consumer_prices,intentional_homicides,unemployment,gross_fixed_capital_formation,population_density,suicide_mortality_rate,tax_revenue,taxes_on_income_profits_capital,alcohol_consumption_per_capita,government_health_expenditure_pct_gdp,urban_population_pct_total,country,time,sex,rating
HUN-2012,4.14249992370605,4.8,30.8,23267.44839290897,5.65214517088646,1.24973203830187,11.003,19.14969708032633,109.58093449685188,24.8,22.867797986600586,15.377636963834524,,4.80347204,69.678,HUN,2012,TOT,477.0
NOR-2012,7.32766008377075,2.5,25.7,65774.35207462238,0.696864111498362,0.537949765852383,3.123,22.305219903442143,13.740329752165676,11.4,26.87254322878151,31.94455501474181,,7.43971157,79.874,NOR,2012,TOT,489.0
IRL-2012,,3.4,33.2,46283.72896610626,1.69620897294548,1.13921416130834,15.451,19.62276524713603,66.76633763971549,12.4,22.51982211008793,36.73018411508284,,7.62500095,61.942,IRL,2012,BOY,509.035
ESP-2003,4.1734299659729,4.1,31.8,25047.39727322203,3.03888839396655,1.38999820046144,11.283,27.098618164050325,84.50881392600309,8.5,,,,5.37777996,76.778,ESP,2003,TOT,485.0
CHL-2018,5.473060131073,6.3,,25564.536716894498,2.43488981353057,4.41142252575542,7.235,23.049792647462223,25.152179058870363,8.8,18.39552449841113,36.6793840750524,,4.65451145,87.564,CHL,2018,BOY,421.0
SWE-2018,7.64084005355835,2.2,30.0,53521.630642828844,1.95353530127028,1.06275175162153,6.365,25.17963857303162,24.9814588688378,14.9,27.909146603384293,15.54985534673548,,9.27633858,87.431,SWE,2018,GIRL,503.0
POL-2009,4.98976993560791,5.4,33.4,19240.13433881725,3.79539242483406,1.00375345434165,8.167,21.443486816931177,124.56446062426538,19.2,16.05189409813961,13.777004950666758,,4.72637177,61.004,POL,2009,TOT,495.0
MEX-2009,5.18794012069702,17.0,,15443.201616930332,5.29735584228856,17.8325996517848,5.356,22.77438580877733,57.125660639419735,4.6,9.234604860644758,27.49034333718387,,2.86067653,77.52,MEX,2009,BOY,425.0
ITA-2003,4.54179000854492,4.1,34.9,29198.3992679196,2.6725555277285,,8.869,20.875315087217743,193.8103294354757,7.4,22.76357266243214,32.22041866136577,,5.90086746,67.501,ITA,2003,BOY,475.0
AUS-2018,5.12431001663208,3.2,34.3,50251.335338146906,1.91140094445691,0.884735037869462,5.3,24.365257670254937,3.245344915899855,12.4,23.177203056825377,65.1641514705453,,7.20352697,86.012,AUS,2018,GIRL,488.0
BRA-2003,,25.1,57.6,9693.555482296484,14.7149197228147,27.9604675434352,11.169,16.60475915356877,21.85046888422544,4.3,,,,3.50954437,82.203,BRA,2003,TOT,356.0
NZL-2006,,5.4,,27732.755552514125,3.36540196171993,1.17225497359077,3.857,23.913397362852027,15.892294253921234,13.1,31.98588404920816,58.17246624535433,,6.67046022,86.4,NZL,2006,BOY,527.0
ISR-2012,5.58893013000488,3.4,41.6,32322.693523719856,1.67920719398061,1.68596170812157,6.762,23.39227081956788,365.5499075785583,6.1,21.71224851029058,28.309094406931568,,4.43309879,91.96,ISR,2012,TOT,466.0
ESP-2012,4.46931982040405,2.9,35.4,31720.273815697223,2.44612782366809,0.778508352972222,24.788,18.52752001737943,93.50683712840608,7.7,11.762925951213456,16.077314706357875,,6.60091925,78.902,ESP,2012,TOT,484.0
CHE-2015,4.99559020996094,3.7,32.3,65265.04573355997,-1.14390867228183,0.688261827356886,4.801,26.411204107328423,209.62662075113204,15.0,9.556179016647478,22.57341347865874,10.69437,3.50238061,73.718,CHE,2015,BOY,527.0
FIN-2009,6.45955991744995,2.6,27.5,37972.65125500852,-9.17360384430342e-07,2.24768979633121,8.25,22.954986877362487,17.567854557420205,20.4,18.88284263289077,15.061888856983089,,7.23975039,83.429,FIN,2009,BOY,542.0
DNK-2012,7.23782014846802,3.5,27.8,44803.968242121424,2.3979148566464,0.839141936305735,7.798,18.777700936708225,139.7893,12.8,33.44639821204139,41.86684023920791,,8.87701893,87.142,DNK,2012,GIRL,493.029
GBR-2015,5.55358982086182,3.9,33.3,42496.85429092182,0.36804684232536,0.99962645860372,5.301,17.37445935220885,269.153139337825,8.8,25.04916640185426,34.13996786693129,10.51561,7.84124422,82.626,GBR,2015,TOT,492.0
BRA-2015,6.24105978012085,14.3,51.9,14692.632306695585,9.02990102416136,28.3564057690353,8.538,17.835807042511682,24.549505631635743,5.9,13.62962936540766,22.86358319357933,8.19602,3.85384917,85.77,BRA,2015,GIRL,370.0
BRA-2015,6.24105978012085,14.3,51.9,14692.632306695585,9.02990102416136,28.3564057690353,8.538,17.835807042511682,24.549505631635743,5.9,13.62962936540766,22.86358319357933,8.19602,3.85384917,85.77,BRA,2015,BOY,385.0
