Title,Average Rating,Director,Budget
Agent Sai Srinivasa Athreya,8.3,Swaroop Rsj,"$20,000 (estimated)"
Sairat,8.3,Nagraj Manjule,
Dzhentlmeny udachi,8.3,Aleksandr Seryy,
Baasha,8.3,Suresh Krishna,
Pithamagan,8.3,Bala,"₹80,000,000 (estimated)"
Jaane Bhi Do Yaaro,8.3,Kundan Shah,
Khuda Kay Liye,8.3,Shoaib Mansoor,
Angoor,8.3,Gulzar,
Kaakkaa Muttai,8.3,M. Manikandan,
Soodhu Kavvum,8.3,Nalan Kumarasamy,"₹70,000,000 (estimated)"
Kaun Pravin Tambe?,8.3,Jayprad Desai,
Pyaasa,8.3,Guru Dutt,
Guide,8.3,Vijay Anand,
Lucia,8.3,Pawan Kumar,"₹5,100,000 (estimated)"
Mi nismo andjeli,8.3,Srdjan Dragojevic,
Chupke Chupke,8.3,Hrishikesh Mukherjee,"₹991,000 (estimated)"
Köyden Indim Sehire,8.3,Ertem Egilmez,
Iron Maiden: Flight 666,8.3,"Sam Dunn, Scot McFadyen",
Pranchiyettan and the Saint,8.3,Ranjith,
Macskafogó,8.3,Béla Ternovszky,
Aruvi,8.3,Arun Prabhu Purushothaman,"$400,000 (estimated)"
Alai Payuthey,8.3,Mani Ratnam,
Pathemari,8.3,Salim Ahmed,
Thulladha Manamum Thullum,8.3,Ezhil,
Aloko Udapadi,8.3,"Chathra Weeraman, Bharatha Hettiarachchi","LKR 130,000,000 (estimated)"
Wicked,8.2,Jon M. Chu,"$150,000,000 (estimated)"
Anora,8.2,Sean Baker,
The Wolf of Wall Street,8.2,Martin Scorsese,"$100,000,000 (estimated)"
Top Gun: Maverick,8.2,Joseph Kosinski,"$170,000,000 (estimated)"
No Country for Old Men,8.2,"Ethan Coen, Joel Coen","$25,000,000 (estimated)"
Die Hard,8.2,John McTiernan,"$28,000,000 (estimated)"
Spider-Man: No Way Home,8.2,Jon Watts,"$200,000,000 (estimated)"
Jurassic Park,8.2,Steven Spielberg,"$63,000,000 (estimated)"
Batman Begins,8.2,Christopher Nolan,"$150,000,000 (estimated)"
Prisoners,8.2,Denis Villeneuve,"$46,000,000 (estimated)"
Shutter Island,8.2,Martin Scorsese,"$80,000,000 (estimated)"
Taxi Driver,8.2,Martin Scorsese,"$1,300,000 (estimated)"
The Truman Show,8.2,Peter Weir,"$60,000,000 (estimated)"
The Thing,8.2,John Carpenter,"$15,000,000 (estimated)"
1917,8.2,Sam Mendes,"$95,000,000 (estimated)"
Unforgiven,8.2,Clint Eastwood,"$14,400,000 (estimated)"
Kishkkindha Kandam,8.2,Dinjith Ayyathan,
The Sixth Sense,8.2,M. Night Shyamalan,"$40,000,000 (estimated)"
Green Book,8.2,Peter Farrelly,"$23,000,000 (estimated)"
Snatch,8.2,Guy Ritchie,"£6,000,000 (estimated)"
Klaus,8.2,"Sergio Pablos, Carlos Martínez López","$40,000,000 (estimated)"
A Clockwork Orange,8.2,Stanley Kubrick,"$2,200,000 (estimated)"
There Will Be Blood,8.2,Paul Thomas Anderson,"$25,000,000 (estimated)"
Full Metal Jacket,8.2,Stanley Kubrick,"$30,000,000 (estimated)"
Casino,8.2,Martin Scorsese,"$52,000,000 (estimated)"
A Beautiful Mind,8.2,Ron Howard,"$58,000,000 (estimated)"
Kill Bill: Vol. 1,8.2,Quentin Tarantino,"$30,000,000 (estimated)"
El Laberinto Del Fauno,8.2,Guillermo del Toro,"$19,000,000 (estimated)"
Howl's Moving Castle,8.2,Hayao Miyazaki,"$24,000,000 (estimated)"
Tumbbad,8.2,"Rahi Anil Barve, Anand Gandhi, Adesh Prasad",
L.A. Confidential,8.2,Curtis Hanson,"$35,000,000 (estimated)"
Finding Nemo,8.2,"Andrew Stanton, Lee Unkrich","$94,000,000 (estimated)"
Indiana Jones and the Last Crusade,8.2,Steven Spielberg,"$48,000,000 (estimated)"
Der Untergang,8.2,Oliver Hirschbiegel,"€13,500,000 (estimated)"
Gone with the Wind,8.2,"Victor Fleming, George Cukor, Sam Wood","$3,977,000 (estimated)"
El Secreto De Sus Ojos,8.2,Juan José Campanella,"$2,000,000 (estimated)"
The Father,8.2,Florian Zeller,"$6,000,000 (estimated)"
Monty Python and the Holy Grail,8.2,"Terry Gilliam, Terry Jones","£229,575 (estimated)"
Some Like It Hot,8.2,Billy Wilder,"$2,883,848 (estimated)"
The Great Escape,8.2,John Sturges,"$4,000,000 (estimated)"
The Elephant Man,8.2,David Lynch,"$5,000,000 (estimated)"
Ran,8.2,Akira Kurosawa,"$11,500,000 (estimated)"
Per qualche dollaro in più,8.2,Sergio Leone,"$600,000 (estimated)"
All About Eve,8.2,Joseph L. Mankiewicz,"$1,400,000 (estimated)"
Dial M for Murder,8.2,Alfred Hitchcock,"$1,400,000 (estimated)"
Demon Slayer: Mugen Train,8.2,Haruo Sotozaki,"$15,000,000 (estimated)"
Rashōmon,8.2,Akira Kurosawa,"$250,000 (estimated)"
Hi Nanna,8.2,Shouryuv,
The Act of Killing,8.2,"Joshua Oppenheimer, Anonymous, Christine Cynn","$1,000,000 (estimated)"
Manjummel Boys,8.2,Chidambaram,
A Man in the Crowd,8.2,Elia Kazan,
Inside Job,8.2,Charles Ferguson,"$2,000,000 (estimated)"
Drishyam 2,8.2,Abhishek Pathak,"₹500,000,000 (estimated)"
Bacheha-Ye Aseman,8.2,Majid Majidi,"$180,000 (estimated)"
The Treasure of the Sierra Madre,8.2,John Huston,"$3,000,000 (estimated)"
Yojimbo,8.2,Akira Kurosawa,
Drishyam,8.2,Nishikant Kamat,"$9,400,000 (estimated)"
Yedinci Kogustaki Mucize,8.2,Mehmet Ada Öztekin,
K.G.F: Chapter 2,8.2,Prashanth Neel,"₹1,000,000,000 (estimated)"
Andhadhun,8.2,Sriram Raghavan,"$4,500,000 (estimated)"
Koyaanisqatsi,8.2,Godfrey Reggio,
A Man Escaped,8.2,Robert Bresson,
Sátántangó,8.2,Béla Tarr,
Bhaag Milkha Bhaag,8.2,Rakeysh Omprakash Mehra,"₹410,000,000 (estimated)"
Napoléon vu par Abel Gance,8.2,Abel Gance,"FRF 20,000,000 (estimated)"
The Kid,8.2,Charles Chaplin,"$250,000 (estimated)"
They Shall Not Grow Old,8.2,Peter Jackson,
A Brighter Summer Day,8.2,Edward Yang,
Look on the Internet,8.2,Abbas Kiarostami,
Paris Is Burning,8.2,Jennie Livingston,"$500,000 (estimated)"
Rocco and His Brothers,8.2,Luchino Visconti,
Uri: The Surgical Strike,8.2,Aditya Dhar,"₹450,000,000 (estimated)"
K.G.F: Chapter 1,8.2,Prashanth Neel,"₹800,000,000 (estimated)"
Kantara,8.2,Rishab Shetty,"$2,000,000 (estimated)"
Hera Pheri,8.2,Priyadarshan,
Ayla: The Daughter of War,8.2,Can Ulkay,
Searching for Sugar Man,8.2,Malik Bendjelloul,
Lion of the Desert,8.2,Moustapha Akkad,"$35,000,000 (estimated)"
Gangs of Wasseypur,8.2,Anurag Kashyap,"₹184,000,000 (estimated)"
My Father and My Son,8.2,Çagan Irmak,
Zindagi Na Milegi Dobara,8.2,Zoya Akhtar,"₹550,000,000 (estimated)"
Pather Panchali,8.2,Satyajit Ray,
Paradise Lost: The Child Murders at Robin Hood Hills,8.2,"Joe Berlinger, Bruce Sinofsky",
Bãhubali 2: The Conclusion,8.2,S.S. Rajamouli,"₹2,500,000,000 (estimated)"
Dersu Uzala,8.2,Akira Kurosawa,"$4,000,000 (estimated)"
Super Deluxe,8.2,Thiagarajan Kumararaja,
Sherlock Jr.,8.2,Buster Keaton,
Hope,8.2,Lee Joon-ik,
"Swades: We, the People",8.2,Ashutosh Gowariker,
13th,8.2,Ava DuVernay,
Rangasthalam,8.2,Sukumar,
Umberto D.,8.2,Vittorio De Sica,
The Ascent,8.2,Larisa Shepitko,
Life and a Day,8.2,Saeed Roustayi,
Dag II,8.2,Alper Caglar,"TRL 2,000,000 (estimated)"
Ennio,8.2,Giuseppe Tornatore,
Soy Cuba,8.2,Mikhail Kalatozov,
Banshun,8.2,Yasujirô Ozu,
The Easy Life,8.2,Dino Risi,
Vikram Vedha,8.2,"Gayatri, Pushkar, Gowtham Selvaraj","₹150,000,000 (estimated)"
Los olvidados,8.2,Luis Buñuel,
Maanaadu,8.2,Venkat Prabhu,
Rascal Does Not Dream of a Dreaming Girl,8.2,Sôichi Masui,
Ordet,8.2,Carl Theodor Dreyer,
