Title,Average Rating,Director,Budget
Fallen Leaves,7.3,Aki Kaurismäki,
Eraserhead,7.3,David Lynch,"$100,000 (estimated)"
Matchstick Men,7.3,Ridley Scott,"$62,000,000 (estimated)"
Submarine,7.3,Richard Ayoade,
Hustle,7.3,Jeremiah Zagar,
The Guernsey Literary and Potato Peel Pie Society,7.3,Mike Newell,"$85,000,000 (estimated)"
Wall Street,7.3,Oliver Stone,"$15,000,000 (estimated)"
Holiday Inn,7.3,"Mark Sandrich, Robert Allen","$3,200,000 (estimated)"
Ghost World,7.3,Terry Zwigoff,"$7,000,000 (estimated)"
Grand Hotel,7.3,Edmund Goulding,"$700,000 (estimated)"
The Adventures of Tintin,7.3,Steven Spielberg,"$135,000,000 (estimated)"
The Return of the Living Dead,7.3,Dan O'Bannon,"$4,000,000 (estimated)"
Old Henry,7.3,Potsy Ponciroli,
The Edge of Seventeen,7.3,Kelly Fremon Craig,"$9,000,000 (estimated)"
Heavenly Creatures,7.3,Peter Jackson,"$5,000,000 (estimated)"
Pusher,7.3,Nicolas Winding Refn,"DKK 6,000,000 (estimated)"
The Fundamentals of Caring,7.3,Rob Burnett,
The Constant Gardener,7.3,Fernando Meirelles,"$25,000,000 (estimated)"
Decision to Leave,7.3,Park Chan-wook,"$10,000,000 (estimated)"
Sexy Beast,7.3,Jonathan Glazer,
The Disaster Artist,7.3,James Franco,"$10,000,000 (estimated)"
The Hand of God,7.3,Paolo Sorrentino,"€13,049,974 (estimated)"
Precious,7.3,Lee Daniels,"$10,000,000 (estimated)"
Rango,7.3,Gore Verbinski,"$135,000,000 (estimated)"
Megamind,7.3,Tom McGrath,"$130,000,000 (estimated)"
Quest for Fire,7.3,Jean-Jacques Annaud,"$12,500,000 (estimated)"
Peter Pan,7.3,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske","$4,000,000 (estimated)"
Cinderella,7.3,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske","$2,900,000 (estimated)"
Rounders,7.3,John Dahl,"$12,000,000 (estimated)"
The Way,7.3,Emilio Estevez,
Snowden,7.3,Oliver Stone,"$40,000,000 (estimated)"
Much Ado About Nothing,7.3,Kenneth Branagh,"$11,000,000 (estimated)"
Alice in Wonderland,7.3,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske","$3,000,000 (estimated)"
Enemy of the State,7.3,Tony Scott,"$90,000,000 (estimated)"
Frida,7.3,Julie Taymor,"$12,000,000 (estimated)"
Death at a Funeral,7.3,Frank Oz,"$9,000,000 (estimated)"
North Country,7.3,Niki Caro,"$35,000,000 (estimated)"
Official Secrets,7.3,Gavin Hood,
The Unbearable Lightness of Being,7.3,Philip Kaufman,"$17,000,000 (estimated)"
Pale Rider,7.3,Clint Eastwood,"$6,900,000 (estimated)"
Amistad,7.3,Steven Spielberg,"$36,000,000 (estimated)"
The Nightingale,7.3,Jennifer Kent,"$2,000,000 (estimated)"
Jane Eyre,7.3,Cary Joji Fukunaga,
Rocky II,7.3,Sylvester Stallone,"$7,000,000 (estimated)"
Say Anything...,7.3,Cameron Crowe,
La Cara Oculta,7.3,Andrés Baiz,"$2,600,000 (estimated)"
Blue Jasmine,7.3,Woody Allen,"$18,000,000 (estimated)"
Red Dog,7.3,Kriv Stenders,"A$8,500,000 (estimated)"
I Can Only Imagine,7.3,"Andrew Erwin, Jon Erwin","$7,000,000 (estimated)"
Fish Tank,7.3,Andrea Arnold,"$3,000,000 (estimated)"
The Descendants,7.3,Alexander Payne,"$20,000,000 (estimated)"
One Hundred and One Dalmatians,7.3,"Clyde Geronimi, Hamilton Luske, Wolfgang Reitherman","$4,000,000 (estimated)"
Capote,7.3,Bennett Miller,"$7,000,000 (estimated)"
Four Lions,7.3,Christopher Morris,
Okja,7.3,Bong Joon Ho,"$50,000,000 (estimated)"
Lethal Weapon 2,7.3,Richard Donner,"$28,000,000 (estimated)"
La Femme Nikita,7.3,Luc Besson,"FRF 50,000,000 (estimated)"
I Origins,7.3,Mike Cahill,"$1,000,000 (estimated)"
Big Night,7.3,"Campbell Scott, Stanley Tucci","$4,100,000 (estimated)"
The Next Three Days,7.3,Paul Haggis,"$30,000,000 (estimated)"
The Problem with Apu?,7.3,David Silverman,"$75,000,000 (estimated)"
Waking Ned,7.3,Kirk Jones,"$3,000,000 (estimated)"
To Live and Die in L.A.,7.3,William Friedkin,"$8,000,000 (estimated)"
Pi,7.3,Darren Aronofsky,"$60,000 (estimated)"
"Good Morning, Vietnam",7.3,Barry Levinson,"$13,000,000 (estimated)"
The Banker,7.3,George Nolfi,
Lady and the Tramp,7.3,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske","$4,000,000 (estimated)"
The Guard,7.3,John Michael McDonagh,"$6,000,000 (estimated)"
Ten Inch Hero,7.3,David Mackay,
Radio Rock,7.3,Richard Curtis,"$50,000,000 (estimated)"
Eye in the Sky,7.3,Gavin Hood,"$13,000,000 (estimated)"
The Ice Storm,7.3,Ang Lee,"$18,000,000 (estimated)"
Grosse Pointe Blank,7.3,George Armitage,"$15,000,000 (estimated)"
My Sister's Keeper,7.3,Nick Cassavetes,"$30,000,000 (estimated)"
Phantom of the Paradise,7.3,Brian De Palma,"$1,300,000 (estimated)"
Running Scared,7.3,Wayne Kramer,"$15,000,000 (estimated)"
Betty Blue,7.3,Jean-Jacques Beineix,
Femme,7.3,"Sam H. Freeman, Ng Choon Ping",
The Professionals,7.3,Richard Brooks,
Paterson,7.3,Jim Jarmusch,"$5,000,000 (estimated)"
The People vs. Larry Flynt,7.3,Milos Forman,"$36,000,000 (estimated)"
The Last Onehorn,7.3,"Jules Bass, Arthur Rankin Jr.","$3,500,000 (estimated)"
Seven Brides for Seven Brothers,7.3,Stanley Donen,"$2,540,000 (estimated)"
Spoiler Alert,7.3,Michael Showalter,
Rescue Dawn,7.3,Werner Herzog,"$10,000,000 (estimated)"
Jason and the Argonauts,7.3,Don Chaffey,"$2,500,000 (estimated)"
Star Trek IV: The Voyage Home,7.3,Leonard Nimoy,"$25,000,000 (estimated)"
Murder by Death,7.3,Robert Moore,
Invictus,7.3,Clint Eastwood,"$60,000,000 (estimated)"
House,7.3,Nobuhiko Ôbayashi,
Thirteen Days,7.3,Roger Donaldson,"$80,000,000 (estimated)"
Cha Cha Real Smooth,7.3,Cooper Raiff,
Clerks II,7.3,Kevin Smith,"$5,000,000 (estimated)"
Siu Lam Juk Kau,7.3,Stephen Chow,"$10,000,000 (estimated)"
What's Love Got to Do with It,7.3,Brian Gibson,"$15,000,000 (estimated)"
Eight Below,7.3,Frank Marshall,"$40,000,000 (estimated)"
The 12th Man,7.3,Harald Zwart,
Alice Doesn't Live Here Anymore,7.3,Martin Scorsese,"$1,800,000 (estimated)"
Antwone Fisher,7.3,Denzel Washington,"$12,500,000 (estimated)"
Seabiscuit,7.3,Gary Ross,"$87,000,000 (estimated)"
20th Century Women,7.3,Mike Mills,"$7,000,000 (estimated)"
The Negotiator,7.3,F. Gary Gray,"$50,000,000 (estimated)"
Belle,7.3,Amma Asante,"$10,900,000 (estimated)"
Eddie the Eagle,7.3,Dexter Fletcher,"$23,000,000 (estimated)"
Local Hero,7.3,Bill Forsyth,"£3,000,000 (estimated)"
A Million Miles Away,7.3,Alejandra Márquez Abella,
Nosotros los Nobles,7.3,Gary Alazraki,
Entergalactic,7.3,Fletcher Moules,
The Gods Must Be Crazy,7.3,Jamie Uys,"$5,000,000 (estimated)"
Bambi,7.3,"James Algar, Samuel Armstrong, David Hand","$858,000 (estimated)"
Belladonna of Sadness,7.3,Eiichi Yamamoto,"¥80,000,000 (estimated)"
This Boy's Life,7.3,Michael Caton-Jones,
My Favorite Wife,7.3,Garson Kanin,
Caché,7.3,Michael Haneke,"€8,000,000 (estimated)"
The Squid and the Whale,7.3,Noah Baumbach,"$1,500,000 (estimated)"
Seul Contre Tous,7.3,Gaspar Noé,
The Bad News Bears,7.3,Michael Ritchie,
Village of the Damned,7.3,Wolf Rilla,"$200,000 (estimated)"
A Shot in the Dark,7.3,Blake Edwards,
Driving Miss Daisy,7.3,Bruce Beresford,"$7,500,000 (estimated)"
A Canterbury Tale,7.3,"Michael Powell, Emeric Pressburger","$650,000 (estimated)"
Angela's Ashes,7.3,Alan Parker,"$50,000,000 (estimated)"
Moby Dick,7.3,John Huston,"$4,500,000 (estimated)"
En kärlekshistoria,7.3,Roy Andersson,
Get Carter,7.3,Mike Hodges,"£750,000 (estimated)"
The Ultimate Gift,7.3,Michael O. Sajbel,
Woman in Gold,7.3,Simon Curtis,"$11,000,000 (estimated)"
L'appartement,7.3,Gilles Mimouni,
Der Hauptmann,7.3,Robert Schwentke,"€5,800,000 (estimated)"
Assault on Precinct 13,7.3,John Carpenter,"$150,000 (estimated)"
Little Boy,7.3,Alejandro Monteverde,"$20,000,000 (estimated)"
Beau travail,7.3,Claire Denis,
Finding Forrester,7.3,Gus Van Sant,"$43,000,000 (estimated)"
Lucky,7.3,John Carroll Lynch,
Mr. Holland's Opus,7.3,Stephen Herek,"$23,000,000 (estimated)"
Stand and Deliver,7.3,Ramón Menéndez,
In Harm's Way,7.3,Otto Preminger,
Christmas in Connecticut,7.3,Peter Godfrey,
Broadcast News,7.3,James L. Brooks,"$20,000,000 (estimated)"
The Proposition,7.3,John Hillcoat,"$20,000,000 (estimated)"
24 Hour Party People,7.3,Michael Winterbottom,
Il mio nome è Nessuno,7.3,Tonino Valerii,"DEM 8,000,000 (estimated)"
nobody's Fool,7.3,Robert Benton,"$20,000,000 (estimated)"
Hope and Glory,7.3,John Boorman,
Carne Trémula,7.3,Pedro Almodóvar,
Bud Abbott and Lou Costello Meet Frankenstein,7.3,"Charles Barton, Walter Lantz","$800,000 (estimated)"
Detroit,7.3,Kathryn Bigelow,"$34,000,000 (estimated)"
Bad Boy Bubby,7.3,Rolf de Heer,"$750,000 (estimated)"
The Queen,7.3,Stephen Frears,"£9,800,000 (estimated)"
Waterloo,7.3,Sergey Bondarchuk,"$25,000,000 (estimated)"
Ragtime,7.3,Milos Forman,
Deconstructing Harry,7.3,Woody Allen,"$20,000,000 (estimated)"
The Walk,7.3,Robert Zemeckis,"$35,000,000 (estimated)"
Our Friend,7.3,Gabriela Cowperthwaite,
Ronia: The Robber's Daughter,7.3,Tage Danielsson,"SEK 18,000,000 (estimated)"
Tess,7.3,Roman Polanski,"$12,000,000 (estimated)"
The Wanderers,7.3,Philip Kaufman,
Point Blank,7.3,John Boorman,"$2,500,000 (estimated)"
Ghajini,7.3,A.R. Murugadoss,"₹200,000,000 (estimated)"
Far from Heaven,7.3,Todd Haynes,"$13,500,000 (estimated)"
Jin-Roh: The Wolf Brigade,7.3,"Kenji Kamiyama, Hiroyuki Okiura",
Hustle & Flow,7.3,Craig Brewer,"$2,800,000 (estimated)"
Irma La Douce,7.3,Billy Wilder,"$5,000,000 (estimated)"
Reds,7.3,Warren Beatty,"$32,000,000 (estimated)"
Over the Edge,7.3,Jonathan Kaplan,"$3,000,000 (estimated)"
Pom Poko,7.3,Isao Takahata,
Shadowlands,7.3,Richard Attenborough,"$22,000,000 (estimated)"
49th Parallel,7.3,Michael Powell,"£132,000 (estimated)"
Rosencrantz & Guildenstern Are Dead,7.3,Tom Stoppard,
A Star Is Born,7.3,"William A. Wellman, Jack Conway, Victor Fleming","$1,173,639 (estimated)"
Toni Erdmann,7.3,Maren Ade,"€3,000,000 (estimated)"
Pusher II,7.3,Nicolas Winding Refn,
A Passage to India,7.3,David Lean,"$16,000,000 (estimated)"
Suspicion,7.3,Alfred Hitchcock,"$1,103,000 (estimated)"
Starred Up,7.3,David Mackenzie,
Brigsby Bear,7.3,Dave McCary,
Pauline à la plage,7.3,Éric Rohmer,
Shanghai Express,7.3,Josef von Sternberg,
A Street Cat Named Bob,7.3,Roger Spottiswoode,"$8,000,000 (estimated)"
The Best of Enemies,7.3,Robin Bissell,"$10,000,000 (estimated)"
Phoenix,7.3,Christian Petzold,
Morte a Venezia,7.3,Luchino Visconti,
Coming Home,7.3,Hal Ashby,"$3,000,000 (estimated)"
Tender Mercies,7.3,Bruce Beresford,
Kiss of the Spider Woman,7.3,Hector Babenco,
Gods and Monsters,7.3,Bill Condon,"$10,000,000 (estimated)"
Girl in the Picture,7.3,Skye Borgman,
Camilla,7.3,George Cukor,"$1,486,000 (estimated)"
Father Goose,7.3,Ralph Nelson,
Heaven Can Wait,7.3,Ernst Lubitsch,
Lorenzo's Oil,7.3,George Miller,"$30,000,000 (estimated)"
Detour,7.3,Edgar G. Ulmer,"$30,000 (estimated)"
Hilary and Jackie,7.3,Anand Tucker,"$7,000,000 (estimated)"
Chi Bi,7.3,John Woo,"CN¥553,632,000 (estimated)"
The Baader Meinhof Complex,7.3,Uli Edel,"€20,000,000 (estimated)"
On the Town,7.3,"Stanley Donen, Gene Kelly","$2,111,250 (estimated)"
Max Manus,7.3,"Joachim Rønning, Espen Sandberg","NOK 50,000,000 (estimated)"
The Trouble with Angels,7.3,Ida Lupino,"$2,000,000 (estimated)"
Desert Flower,7.3,Sherry Hormann,
Hwanghae,7.3,Na Hong-jin,"$8,170,000 (estimated)"
Murder in the First,7.3,Marc Rocco,
The Painted Bird,7.3,Václav Marhoul,"CZK 175,000,000 (estimated)"
Luftslottet som sprängdes,7.3,Daniel Alfredson,"€4,000,000 (estimated)"
Bacurau,7.3,"Juliano Dornelles, Kleber Mendonça Filho","R$7,700,000 (estimated)"
Experiment in Terror,7.3,Blake Edwards,
My Favorite Year,7.3,Richard Benjamin,"$7,900,000 (estimated)"
Shaun the Sheep Movie,7.3,"Mark Burton, Richard Starzak","$25,000,000 (estimated)"
Mona Lisa,7.3,Neil Jordan,
Sur Mes Lèvres,7.3,Jacques Audiard,"FRF 49,000,000 (estimated)"
Shenandoah,7.3,Andrew V. McLaglen,
"The Pig, the Snake and the Pigeon",7.3,Ching-Po Wong,
Marshall,7.3,Reginald Hudlin,"$12,000,000 (estimated)"
Pusher III,7.3,Nicolas Winding Refn,
Ala Vaikunthapurramuloo,7.3,Trivikram Srinivas,"₹800,000,000 (estimated)"
Atlantic City,7.3,Louis Malle,"$7,200,000 (estimated)"
The Razor's Edge,7.3,Edmund Goulding,"$1,200,000 (estimated)"
The Field,7.3,Jim Sheridan,"IEP 5,000,000 (estimated)"
Hell's Angels,7.3,"Howard Hughes, Edmund Goulding, James Whale","$3,950,000 (estimated)"
The Killing of a Chinese Bookie,7.3,John Cassavetes,
Bajirao Mastani,7.3,Sanjay Leela Bhansali,"₹1,250,000,000 (estimated)"
El día de la bestia,7.3,Álex de la Iglesia,"€2,100,000 (estimated)"
Spy X Family Code White,7.3,"Kazuhiro Furuhashi, Takashi Katagiri",
The Last Black Man in San Francisco,7.3,Joe Talbot,
42nd Street,7.3,Lloyd Bacon,"$439,000 (estimated)"
Pot Luck,7.3,Cédric Klapisch,"€5,300,000 (estimated)"
Byuti Insaideu,7.3,Jong-Yeol Baek,
Topsy-Turvy,7.3,Mike Leigh,"£10,000,000 (estimated)"
Theri,7.3,Atlee,"₹1,000,000,000 (estimated)"
The Long Hot Summer,7.3,Martin Ritt,"$1,500,000 (estimated)"
You're Not You,7.3,George C. Wolfe,
Reprise,7.3,Joachim Trier,"NOK 22,000,000 (estimated)"
Uncle Frank,7.3,Alan Ball,
Phir Hera Pheri,7.3,Neeraj Vora,
Too Late for Tears,7.3,Byron Haskin,
Barney's Version,7.3,Richard J. Lewis,"$30,000,000 (estimated)"
The Bombardment,7.3,Ole Bornedal,
Keith,7.3,Todd Kessler,
The Front Page,7.3,Billy Wilder,"$4,000,000 (estimated)"
Baby Doll,7.3,Elia Kazan,
The Stranger,7.3,Orson Welles,"$1,034,000 (estimated)"
Trade,7.3,Marco Kreuzpaintner,"$12,000,000 (estimated)"
The Man with the Golden Arm,7.3,Otto Preminger,"$1,000,000 (estimated)"
Nil by Mouth,7.3,Gary Oldman,"$9,000,000 (estimated)"
Monsoon Wedding,7.3,Mira Nair,"₹7,000,000 (estimated)"
Dead Ringer,7.3,Paul Henreid,"$1,200,000 (estimated)"
Weaving Room,7.3,Martin Ritt,
Metropolitan,7.3,Whit Stillman,"$230,000 (estimated)"
Constantine: City of Demons,7.3,Doug Murphy,
In the House,7.3,François Ozon,
The Lodger: A Story of the London Fog,7.3,Alfred Hitchcock,"£12,000 (estimated)"
Gaslight,7.3,Thorold Dickinson,
Under the Same Moon,7.3,Patricia Riggen,
Dogfight,7.3,Nancy Savoca,
Manhattan Murder Mystery,7.3,Woody Allen,"$13,500,000 (estimated)"
The Railway Children,7.3,Lionel Jeffries,
Richard III,7.3,Richard Loncraine,"£6,000,000 (estimated)"
"Deux jours, une nuit",7.3,"Jean-Pierre Dardenne, Luc Dardenne","€7,000,000 (estimated)"
The In-Laws,7.3,Arthur Hiller,"$9,000,000 (estimated)"
A New Leaf,7.3,Elaine May,"$4,000,000 (estimated)"
The Beast of War,7.3,Kevin Reynolds,"$8,000,000 (estimated)"
Rundskop,7.3,Michaël R. Roskam,"€2,000,000 (estimated)"
The Keeper,7.3,Marcus H. Rosenmüller,€11 (estimated)
Palm Trees in the Snow,7.3,Fernando González Molina,"€10,000,000 (estimated)"
Written on the Wind,7.3,Douglas Sirk,
This Youth Is Crazy,7.3,Ayan Mukerji,
Camille Claudel,7.3,Bruno Nuytten,
Kansas City Confidential,7.3,Phil Karlson,
Roma,7.3,Federico Fellini,
Run Silent Run Deep,7.3,Robert Wise,
National Velvet,7.3,Clarence Brown,
Loft,7.3,Erik Van Looy,"€3,200,000 (estimated)"
"Sorry, Wrong Number",7.3,Anatole Litvak,
The Spiral Staircase,7.3,Robert Siodmak,
Love Jones,7.3,Theodore Witcher,"$10,000,000 (estimated)"
Der Fall Collini,7.3,Marco Kreuzpaintner,
The Sum of Us,7.3,"Geoff Burton, Kevin Dowling","A$3,465,000 (estimated)"
Oh Boy,7.3,Jan-Ole Gerster,"€300,000 (estimated)"
I.D.,7.3,Phil Davis,
The Three Burials of Melquiades Estrada,7.3,Tommy Lee Jones,"$15,000,000 (estimated)"
The Americanization of Emily,7.3,Arthur Hiller,"$2,700,000 (estimated)"
Le dernier métro,7.3,François Truffaut,
Time Masters,7.3,René Laloux,
Last Train from Gun Hill,7.3,John Sturges,
The Snow Walker,7.3,Charles Martin Smith,"CA$10,000,000 (estimated)"
Cheong-nyeon-gyeong-chal,7.3,Joo-hwan Kim,
So Weit Die Füße Tragen,7.3,Hardy Martins,"DEM 15,000,000 (estimated)"
Une femme est une femme,7.3,Jean-Luc Godard,"$160,000 (estimated)"
Lust for Life,7.3,"Vincente Minnelli, George Cukor","$3,227,000 (estimated)"
Enchanted April,7.3,Mike Newell,
Richard III,7.3,Laurence Olivier,
Pumping Iron,7.3,"George Butler, Robert Fiore",
Interiors,7.3,Woody Allen,"$10,000,000 (estimated)"
Gongjak,7.3,Yoon Jong-bin,"₩19,000,000,000 (estimated)"
Shogun Assassin,7.3,"Robert Houston, Kenji Misumi",
I Kina spiser de hunde,7.3,Lasse Spang Olsen,
The Roast of Tom Brady,7.3,Beth McCarthy-Miller,
Blue Jay,7.3,Alex Lehmann,
Tabu,7.3,Miguel Gomes,
Sommersturm,7.3,Marco Kreuzpaintner,"€2,700,000 (estimated)"
Murder She Said,7.3,George Pollock,
"Watch Out, We're Mad",7.3,Marcello Fondato,
Venuto al mondo,7.3,Sergio Castellitto,"€13,000,000 (estimated)"
Viaggio in Italia,7.3,Roberto Rossellini,
The Long Walk Home,7.3,Richard Pearce,"$6,000,000 (estimated)"
La famille Bélier,7.3,Éric Lartigau,"€10,962,002 (estimated)"
Young Scarface,7.3,John Boulting,
Un Sac De Billes,7.3,Christian Duguay,"$21,400,000 (estimated)"
The Scent of Green Papaya,7.3,Anh Hung Tran,
I'm No Longer Here,7.3,Fernando Frias,
Les innocentes,7.3,Anne Fontaine,"€6,400,000 (estimated)"
Mrs. Chatterjee vs. Norway,7.3,Ashima Chibber,
Hit the Road,7.3,Panah Panahi,
Gekijô-ban Sôdo Âto Onrain: Sword Art Online - Ôdinaru sukêru -,7.3,Tomohiko Itô,
Le prénom,7.3,"Alexandre de La Patellière, Matthieu Delaporte",
The Tall T,7.3,Budd Boetticher,
King of the Hill,7.3,Steven Soderbergh,"$8,000,000 (estimated)"
City Island,7.3,Raymond De Felitta,"$6,000,000 (estimated)"
Café de Flore,7.3,Jean-Marc Vallée,"CA$10,000,000 (estimated)"
Mommy Dead and Dearest,7.3,Erin Lee Carr,
United,7.3,James Strong,
Looking for Richard,7.3,Al Pacino,
Les vacances de Monsieur Hulot,7.3,Jacques Tati,
A Boy Named Charlie Brown,7.3,Bill Melendez,"$1,100,000 (estimated)"
The Man from Laramie,7.3,Anthony Mann,
Beyond the Infinite Two Minutes,7.3,Junta Yamaguchi,
The Name Engraved in Your Heart,7.3,Kuang-Hui Liu,"NT$50,000,000 (estimated)"
The Collector,7.3,Éric Rohmer,
Still Life,7.3,Jia Zhang-ke,"CN¥10,000,000 (estimated)"
Whitney,7.3,Kevin Macdonald,
The Naked Prey,7.3,Cornel Wilde,"$900,000 (estimated)"
The Glenn Miller Story,7.3,Anthony Mann,
Harry and Tonto,7.3,Paul Mazursky,"$980,000 (estimated)"
Rang zi dan fei,7.3,Wen Jiang,"$18,000,000 (estimated)"
Polisse,7.3,Maïwenn,
The Westerner,7.3,William Wyler,"$2,000,000 (estimated)"
Crossfire,7.3,Edward Dmytryk,"$250,000 (estimated)"
Friendly Persuasion,7.3,William Wyler,"$3,000,000 (estimated)"
The Naked Spur,7.3,Anthony Mann,"$1,261,000 (estimated)"
Les vampires,7.3,Louis Feuillade,
Üç Maymun,7.3,Nuri Bilge Ceylan,
"Heaven Knows, Mr. Allison",7.3,John Huston,"$3,000,000 (estimated)"
Demain tout commence,7.3,Hugo Gélin,
No Smoking,7.3,Anurag Kashyap,
The Body Snatcher,7.3,Robert Wise,"$125,000 (estimated)"
Adolf Hitler: The Greatest Story Never Told,7.3,Dennis Wise,
Otesánek,7.3,Jan Svankmajer,
Love Affair,7.3,Leo McCarey,
Ai qing wan sui,7.3,Tsai Ming-liang,
People Will Talk,7.3,Joseph L. Mankiewicz,
L'uomo delle stelle,7.3,Giuseppe Tornatore,
Coup de torchon,7.3,Bertrand Tavernier,
Music Box,7.3,Costa-Gavras,"$18,000,000 (estimated)"
Hara-Kiri: Death of a Samurai,7.3,Takashi Miike,
Freddy,7.3,Shashanka Ghosh,
Big Eden,7.3,Thomas Bezucha,
Boku no hîrô akademia THE MOVIE ~ 2-ri no eiyû ~,7.3,Kenji Nagasaki,
The Velvet Underground,7.3,Todd Haynes,
Elena,7.3,Andrey Zvyagintsev,
Captain Horatio Hornblower R.N.,7.3,Raoul Walsh,
How to Get the Man's Foot Outta Your Ass,7.3,Mario Van Peebles,
Snake in the Eagle's Shadow,7.3,Woo-Ping Yuen,
Monsieur Ibrahim,7.3,François Dupeyron,
Bully,7.3,Lee Hirsch,"$1,100,000 (estimated)"
La stanza del figlio,7.3,Nanni Moretti,
Shock Corridor,7.3,Samuel Fuller,
Cartel Land,7.3,Matthew Heineman,
The Front,7.3,Martin Ritt,
Trance,7.3,Anwar Rasheed,
Passion Fish,7.3,John Sayles,"$3,330,000 (estimated)"
Vanya on 42nd Street,7.3,Louis Malle,
Sadece Sen,7.3,Hakan Yonat,
Into the Abyss,7.3,Werner Herzog,
A Foreign Affair,7.3,Billy Wilder,"$1,500,000 (estimated)"
Le boucher,7.3,Claude Chabrol,
Never on Sunday,7.3,Jules Dassin,"$151,000 (estimated)"
Saint Ralph,7.3,Michael McGowan,"CA$6,000,000 (estimated)"
Le fate ignoranti,7.3,Ferzan Özpetek,
Vaathi,7.3,Venky Atluri,
Dodesukaden,7.3,Akira Kurosawa,
Another Thin Man,7.3,W.S. Van Dyke,
Kaagaz,7.3,Satish Kaushik,
Truman,7.3,Cesc Gay,"€3,800,000 (estimated)"
Madadayo,7.3,"Akira Kurosawa, Ishirô Honda","$11,900,000 (estimated)"
Hail Satan?,7.3,Penny Lane,
The Selfish Giant,7.3,Clio Barnard,
Deux hommes dans la ville,7.3,José Giovanni,
Mard Ko Dard Nahin Hota,7.3,Vasan Bala,
Sakasama no Patema,7.3,Yasuhiro Yoshiura,
Im Labyrinth des Schweigens,7.3,Giulio Ricciarelli,
Unagi,7.3,Shôhei Imamura,
The Winslow Boy,7.3,David Mamet,
Taxi No. 9 2 11: Nau Do Gyarah,7.3,Milan Luthria,
The Enforcer,7.3,"Bretaigne Windust, Raoul Walsh","$1,109,000 (estimated)"
Humoresque,7.3,Jean Negulesco,"$2,164,000 (estimated)"
Ridicule,7.3,Patrice Leconte,"FRF 50,000,000 (estimated)"
The Bedford Incident,7.3,James B. Harris,
Parada,7.3,Srdjan Dragojevic,"€1,300,000 (estimated)"
La nana,7.3,Sebastián Silva,"$430,000 (estimated)"
The Front Line,7.3,Hun Jang,
Enas allos kosmos,7.3,Christopher Papakaliatis,"€1,700,000 (estimated)"
Jathi Ratnalu,7.3,Anudeep K.V.,
Mr & Mme Adelman,7.3,Nicolas Bedos,"€5,983,685 (estimated)"
De helaasheid der dingen,7.3,Felix van Groeningen,
Sarbjit,7.3,Omung Kumar,
Sorkhpoost,7.3,Nima Javidi,
Taxi,7.3,Jafar Panahi,
Gekijô-ban hagane no renkinjutsushi: Shanbara wo yuku mono,7.3,Seiji Mizushima,
Die verlorene Ehre der Katharina Blum,7.3,"Volker Schlöndorff, Margarethe von Trotta","DEM 1,700,000 (estimated)"
W ciemnosci,7.3,Agnieszka Holland,
La chèvre,7.3,Francis Veber,
Leto,7.3,Kirill Serebrennikov,
The Cakemaker,7.3,Ofir Raul Graizer,
Maine Pyar Kiya,7.3,Sooraj R. Barjatya,
The Monster,7.3,Roberto Benigni,
The Thin Man Goes Home,7.3,Richard Thorpe,"$1,000,000 (estimated)"
"Je vais bien, ne t'en fais pas",7.3,Philippe Lioret,
In This Our Life,7.3,"John Huston, Raoul Walsh","$713,000 (estimated)"
Five Graves to Cairo,7.3,Billy Wilder,"$855,000 (estimated)"
Happy Easter,7.3,Charles Walters,"$2,503,654 (estimated)"
The Kid Stays in the Picture,7.3,"Nanette Burstein, Brett Morgen",
13 Tzameti,7.3,Géla Babluani,
Wild Reeds,7.3,André Téchiné,
Twentieth Century,7.3,Howard Hawks,
Mao's Last Dancer,7.3,Bruce Beresford,
The Tin Star,7.3,Anthony Mann,
Raman Raghav 2.0,7.3,Anurag Kashyap,
Un cuento chino,7.3,Sebastián Borensztein,"$5,000,000 (estimated)"
Taish,7.3,Bejoy Nambiar,
Mardaani 2,7.3,Gopi Puthran,"$2,800,000 (estimated)"
Full Moon in Paris,7.3,Éric Rohmer,
A Viszkis,7.3,Nimród Antal,"HUF 1,100,000,000 (estimated)"
Get Me Roger Stone,7.3,"Dylan Bank, Daniel DiMauro, Morgan Pehme",
Osama,7.3,Siddiq Barmak,"$46,000 (estimated)"
The Edge of Democracy,7.3,Petra Costa,
Bacalaureat,7.3,Cristian Mungiu,"$2,000,000 (estimated)"
Stand by Me Doraemon,7.3,"Tony Oliver, Ryuichi Yagi, Takashi Yamazaki","$35,000,000 (estimated)"
Bez konca,7.3,Krzysztof Kieslowski,
Wong Fei Hung II: Nam yee tung chi keung,7.3,Hark Tsui,
Reconstruction,7.3,Christoffer Boe,
Yuva,7.3,Mani Ratnam,"₹100,000,000 (estimated)"
Ben X,7.3,Nic Balthazar,"€1,500,000 (estimated)"
Bread and Tulips,7.3,Silvio Soldini,
Vier Minuten,7.3,Chris Kraus,"€1,400,000 (estimated)"
Gold,7.3,Reema Kagti,
Soaked in Bleach,7.3,Benjamin Statler,
Grzeli nateli dgeebi,7.3,"Nana Ekvtimishvili, Simon Groß",
Jallikattu,7.3,Lijo Jose Pellissery,
