Title,Average Rating,Worldwide Gross
Jo Jeeta Wohi Sikandar,8.1,
Take Off,8.1,"$884,267"
Maanagaram,8.1,"₹100,000,000"
Vinnaithaandi Varuvaayaa,8.1,"$292,732"
Cercando La grande bellezza,8.1,
Zeitgeist: Moving Forward,8.1,
Indian,8.1,$184
Sudani from Nigeria,8.1,"$809,541"
Aadukalam,8.1,"$4,997"
Nebeska udica,8.1,
Charulata,8.1,
Iqbal,8.1,
Khushi,8.1,
Sürü,8.1,"$2,353"
Vedam,8.1,
RangiTaranga,8.1,
Sir Alex Ferguson: Never Give In,8.1,"$115,568"
