url,weekid,week_position,song,performer,songid,instance,previous_week_position,peak_position,weeks_on_chart,year,month,day
http://www.billboard.com/charts/hot-100/1968-12-21,12/21/1968,47,MY FAVORITE THINGS,Herb Alpert & The Tijuana Brass,My Favorite ThingsHerb Alpert & The Tijuana Brass,1,75.0,45,6,1968,12,21
http://www.billboard.com/charts/hot-100/1962-12-29,12/29/1962,45,SANTA CLAUS IS WATCHING YOU,Ray Stevens,Santa Claus Is Watching YouRay Stevens,1,55.0,45,3,1962,12,29
http://www.billboard.com/charts/hot-100/2008-01-05,1/5/2008,62,THIS CHRISTMAS,Chris Brown,This ChristmasChris Brown,1,74.0,62,5,2008,1,5
http://www.billboard.com/charts/hot-100/1960-12-24,12/24/1960,36,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,2,46.0,29,19,1960,12,24
http://www.billboard.com/charts/hot-100/1960-12-24,12/24/1960,54,SILENT NIGHT,Bing Crosby,Silent NightBing Crosby,1,64.0,54,2,1960,12,24
http://www.billboard.com/charts/hot-100/2009-12-19,12/19/2009,63,LAST CHRISTMAS,Glee Cast,Last ChristmasGlee Cast,1,,63,2,2009,12,19
http://www.billboard.com/charts/hot-100/1962-12-22,12/22/1962,92,JINGLE BELL ROCK,Bobby Rydell/Chubby Checker,Jingle Bell RockBobby Rydell/Chubby Checker,2,97.0,21,7,1962,12,22
http://www.billboard.com/charts/hot-100/1990-01-06,1/6/1990,7,THIS ONE'S FOR THE CHILDREN,New Kids On The Block,This One's For The ChildrenNew Kids On The Block,1,9.0,7,16,1990,1,6
http://www.billboard.com/charts/hot-100/1960-12-17,12/17/1960,45,THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,The Chipmunk Song (Christmas Don't Be Late)David Seville And The Chipmunks,2,66.0,39,15,1960,12,17
http://www.billboard.com/charts/hot-100/2007-12-29,12/29/2007,74,THIS CHRISTMAS,Chris Brown,This ChristmasChris Brown,1,96.0,62,5,2007,12,29
http://www.billboard.com/charts/hot-100/1962-12-22,12/22/1962,88,WHITE CHRISTMAS,The Drifters Featuring Clyde McPhatter And Bill Pinkney,White ChristmasThe Drifters Featuring Clyde McPhatter And Bill Pinkney,2,,88,2,1962,12,22
http://www.billboard.com/charts/hot-100/1998-01-24,1/24/1998,97,SANTA'S A FAT BITCH,Insane Clown Posse,Santa's A Fat BitchInsane Clown Posse,1,91.0,67,5,1998,1,24
http://www.billboard.com/charts/hot-100/1984-12-22,12/22/1984,65,DO THEY KNOW IT'S CHRISTMAS?,Band-Aid,Do They Know It's Christmas?Band-Aid,1,,13,9,1984,12,22
http://www.billboard.com/charts/hot-100/1958-12-27,12/27/1958,44,GREEN CHRI$TMA$,Stan Freberg,Green Chri$tma$Stan Freberg,1,,44,2,1958,12,27
http://www.billboard.com/charts/hot-100/2005-12-24,12/24/2005,97,BELIEVE,Brooks & Dunn,BelieveBrooks & Dunn,1,,60,20,2005,12,24
