"game_id","first","time_control_name","game_end_reason","winner","created_at","last_update","type","game_request.lexicon","game_request.initial_time_seconds","game_request.increment_seconds","game_request.challenge_rule","game_request.game_mode","game_request.rating_mode","game_request.max_overtime_minutes","game_request.player_vs_bot","game_request.bot_type","game_request.rules.board_layout_name","game_request.rules.letter_distribution_name","game_request.rules.variant_name"
"6jprpwiS","BasicBot","regular","STANDARD",0,"2024-04-13T10:09:05.425028Z","2024-04-13T10:10:33.244964Z","NATIVE","CSW21",900,0,"SINGLE","REAL_TIME","CASUAL",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"39SBHnBL","BasicBot","regular","STANDARD",1,"2024-04-13T10:00:46.931813Z","2024-04-13T10:11:42.426673Z","NATIVE","CSW21",1800,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"myXajSfZ","amoghies","regular","STANDARD",1,"2024-04-13T09:58:01.423452Z","2024-04-13T10:09:41.397686Z","NATIVE","CSW21",1200,0,"VOID","REAL_TIME","CASUAL",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"ERLTzFsq","Sonia_Anne_Menon","regular","TIME",1,"2024-04-13T09:57:37.441654Z","2024-04-13T10:22:49.700432Z","NATIVE","CSW21",1500,1,"VOID","REAL_TIME","RATED",0,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"mmDqm6Zs","BasicBot","regular","TIME",0,"2024-04-13T09:56:46.370903Z","2024-04-13T10:22:49.643482Z","NATIVE","CSW21",1500,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"oHzsorMh","BasicBot","regular","STANDARD",0,"2024-04-13T09:52:42.828704Z","2024-04-13T09:57:59.217337Z","NATIVE","CSW21",1200,0,"SINGLE","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"Mz4brf8c","BasicBot","regular","STANDARD",1,"2024-04-13T09:51:22.206165Z","2024-04-13T09:57:53.327115Z","NATIVE","CSW21",1200,0,"VOID","REAL_TIME","CASUAL",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"PTdvjbCz","Glilac","regular","STANDARD",0,"2024-04-13T09:50:28.160210Z","2024-04-13T10:00:26.707692Z","NATIVE","CSW21",1800,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"Lj26CedU","BasicBot","regular","STANDARD",0,"2024-04-13T09:49:40.460867Z","2024-04-13T10:09:49.671855Z","NATIVE","CSW21",600,0,"FIVE_POINT","REAL_TIME","RATED",10,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"Dj8xNPb7","BasicBot","regular","STANDARD",0,"2024-04-13T09:48:31.947564Z","2024-04-13T09:59:29.696511Z","NATIVE","CSW21",1200,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"FTqej8zd","BasicBot","regular","TIME",0,"2024-04-13T09:45:00.675860Z","2024-04-13T10:06:09.677525Z","NATIVE","RD28",1200,0,"FIVE_POINT","REAL_TIME","RATED",1,TRUE,"LEVEL2_PROBABILISTIC","CrosswordGame","german",""
"nSXHAY4V","BasicBot","regular","STANDARD",1,"2024-04-13T09:44:43.268472Z","2024-04-13T10:05:52.923201Z","NATIVE","NWL23",1440,0,"VOID","REAL_TIME","CASUAL",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"zrvfXzuy","BasicBot","regular","TIME",0,"2024-04-13T09:44:07.045102Z","2024-04-13T10:04:09.655317Z","NATIVE","CSW21",1200,0,"VOID","REAL_TIME","RATED",0,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"R6yVeV8p","BasicBot","regular","STANDARD",1,"2024-04-13T09:43:50.312344Z","2024-04-13T09:57:56.236125Z","NATIVE","CSW21",900,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"QD2yze47","BasicBot","regular","TIME",0,"2024-04-13T09:43:06.566053Z","2024-04-13T10:05:10.893978Z","NATIVE","NWL23",1200,0,"VOID","REAL_TIME","CASUAL",2,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"a9e7oFHe","amoghies","regular","STANDARD",0,"2024-04-13T09:41:35.133248Z","2024-04-13T09:51:18.179228Z","NATIVE","CSW21",1200,0,"VOID","REAL_TIME","CASUAL",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"ics7t2ZT","BasicBot","regular","STANDARD",1,"2024-04-13T09:35:26.399462Z","2024-04-13T09:41:29.108883Z","NATIVE","CSW21",1200,0,"VOID","REAL_TIME","CASUAL",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"pdMhRB9b","BasicBot","regular","TIME",0,"2024-04-13T09:33:47.045530Z","2024-04-13T09:49:49.655147Z","NATIVE","CSW21",900,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
