title,genre,release_date
Rocco and His Brothers,"Crime,Drama",1960-10-06
My Neighbor Totoro,"Fantasy,Animation,Family",1988-04-16
The Red Shoes,"Drama,Romance",1948-09-06
Late Spring,Drama,1949-09-13
Nights of Cabiria,Drama,1957-10-03
Memories of Murder,"Crime,Drama,Thriller",2003-05-02
Ron's Gone Wrong,"Animation,Science Fiction,Family,Comedy",2021-10-15
Love Exposure,"Action,Comedy,Drama,Romance",2009-01-31
A Dog's Journey,"Family,Adventure,Drama",2019-05-03
Loving Vincent,"Animation,Drama,Mystery,History",2017-06-22
WALL·E,"Animation,Family,Science Fiction",2008-06-22
Hidden Figures,"Drama,History",2016-12-10
Prisoners,"Drama,Thriller,Crime",2013-09-18
Elite Squad,"Drama,Action,Crime",2007-10-12
Cool Kids Don't Cry,"Family,Romance,Drama",2012-02-15
My Name Is Khan,"Drama,Romance",2010-02-10
Judgment at Nuremberg,"Drama,History,War",1961-12-18
On My Skin,Drama,2018-09-12
Weathering with You,"Animation,Drama,Fantasy,Romance",2019-06-19
Finch,"Science Fiction,Drama,Adventure",2021-11-04
Room,"Drama,Thriller",2015-10-16
The Grand Budapest Hotel,"Comedy,Drama",2014-02-26
Poverty and Nobility,Comedy,1954-04-17
Sing 2,"Animation,Comedy,Family,Music",2021-12-01
Gifted,"Drama,Comedy",2017-04-12
Spider-Man: No Way Home,"Action,Adventure,Science Fiction",2021-12-15
In a Heartbeat,"Family,Animation,Romance,Comedy",2017-06-01
Along with the Gods: The Two Worlds,"Drama,Fantasy,Action",2017-12-14
The Lives of Others,"Drama,Thriller",2006-03-15
All My Life,"Romance,Drama",2020-10-23
The Sting,"Comedy,Crime,Drama",1973-12-25
To Kill a Mockingbird,"Crime,Drama",1962-12-20
The Wages of Fear,"Drama,Thriller,Adventure",1953-04-22
Wish Dragon,"Animation,Family,Comedy,Fantasy",2021-01-15
Innocent Voices,"Drama,War",2005-01-28
The Circus,"Comedy,Romance",1928-01-06
Chungking Express,"Drama,Comedy,Romance",1994-07-14
The General,"Action,Adventure,Comedy,Drama,War",1926-12-25
The Second Mother,Drama,2015-06-04
Prayers for Bobby,"Drama,History,TV Movie",2009-01-24
For a Few Dollars More,Western,1965-12-18
Song of the Sea,"Family,Animation,Fantasy",2014-09-06
In This Corner of the World,"Drama,Animation,Romance,War,History",2016-11-12
The Young and the Damned,"Crime,Drama",1950-12-09
The Treasure of the Sierra Madre,"Adventure,Drama,Western",1948-01-15
Dial M for Murder,"Crime,Thriller",1954-05-29
Palmer,Drama,2021-01-29
Bingo: The King of the Mornings,"Comedy,Drama",2017-08-24
The Hidden Fortress,"Adventure,Drama,Action,Comedy",1958-12-28
CODA,"Drama,Music,Romance",2021-08-11
"Veinteañera, Divorciada y Fantástica",Comedy,2020-02-14
Ivan Vasilyevich Changes His Profession,"Comedy,Science Fiction",1973-09-17
The Gold Rush,"Adventure,Comedy,Drama",1925-07-12
Requiem for a Dream,"Crime,Drama",2000-10-06
"Rome, Open City","Drama,History",1945-10-08
American Beauty,Drama,1999-09-15
The Cranes Are Flying,"Drama,Romance,War",1957-10-12
